,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,10487,14564,12527,16628,21008,18990,17752,21735,34870,34488
ST Debt,4179,2212,1053,1256,2135,1271,676,2628,2537,5579
LT Debt,6309,12352,11474,15372,18873,17719,17076,19107,32333,28909
Total Debt/EBITDA,3.90,4.06,3.03,3.78,4.12,3.11,2.75,2.13,2.72,2.90
Net Debt/EBITDA,1.73,3.68,2.92,3.60,3.86,2.77,2.38,1.12,2.37,2.18
Total Debt/EBIT,6.22,7.65,5.11,6.30,6.85,4.95,4.25,2.75,3.41,4.05
Net Debt/EBIT,2.76,6.94,4.93,6.00,6.42,4.41,3.67,1.45,2.97,3.05
EBITDA to Interest Expense,10.25,7.48,9.98,9.36,8.61,9.15,9.55,18.48,23.91,16.37
EBITDA-CapEx/Interest Expense,9.18,6.59,8.96,8.42,7.75,8.01,8.18,15.81,19.21,13.29
EBIT to Interest Expense,6.44,3.97,5.91,5.62,5.18,5.75,6.18,14.27,19.08,11.72
Interest Expense,262,480,415,470,592,667,676,553,536,726
Common Equity/Total Assets,28.62,25.36,30.62,31.29,28.88,34.05,38.71,41.35,37.84,43.53
Long-Term Debt/Equity (%),37.43,60.11,53.63,71.37,74.27,64.23,57.54,55.37,26502.46,65.48
Long-Term Debt/Capital (%),32.17,48.67,45.75,49.64,50.53,46.48,42.40,37.99,45.63,37.57
Long-Term Debt/Total Assets (%),19.79,28.97,27.99,33.54,33.35,31.54,29.35,27.67,34.11,29.71
Total Debt/Equity (%),62.22,70.88,58.55,77.20,82.67,68.84,59.82,62.99,28581.97,78.12
Total Debt/Capital (%),53.48,57.39,49.95,53.69,56.25,49.82,44.07,43.21,49.21,44.82
Total Debt/Total Assets (%),32.90,34.16,30.55,36.28,37.12,33.80,30.51,31.48,36.79,35.45
Net Debt to Equity,27.65,64.34,56.44,73.55,77.41,61.22,51.74,33.07,24912.30,58.81
Net Debt/Capital (%),33.82,55.00,49.03,52.48,54.62,46.89,40.53,28.54,45.78,37.94
EBITDA,2687,3590,4140,4396,5098,6100,6458,10218,12817,11888
EBITDA-CapEx,2405,3162,3717,3952,4590,5342,5532,8744,10294,9645
Operating Income (Loss),1687,1905,2452,2638,3065,3833,4181,7893,10225,8507
