,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0,0,0,0,0,0,0
Return on Assets (%),0.12,0.46,1.23,2.28,6.65,4.04,4.35,2.13,1.49,1.24
Return on Capital (%),561.58,-21.18,-68.65,3799.15,0,-333.78,50.01,8.97,6.01,5.08
Return on Invested Capital (%),4.01,1.57,4.70,5.31,0,10.43,9.19,4.84,3.58,3.75
Gross Margin (%),49.82,47.88,53.52,55.85,56.39,57.62,58.84,58.67,54.31,54.50
EBITDA Margin (%),19.59,17.88,21.73,25.51,26.20,27.23,27.42,31.00,29.05,27.34
Operating Margin (%),4.74,2.96,7.11,8.85,11.46,12.26,12.72,10.31,8.60,10.19
Incremental Operating Margin (%),1.68,-5.50,56.37,19.15,42.84,24.24,24.47,5.69,-1.38,-222.12
Pretax Margin (%),0.21,1.40,3.05,6.21,7.78,9.04,10.23,5.16,4.18,3.95
Profit Margin (%),0.14,0.84,2.29,3.89,11.17,6.67,7.71,4.48,3.77,3.25
Net Income to Common Margin (%),0.14,0.84,2.12,3.75,11.04,6.67,7.71,4.48,3.77,3.25
Effective Tax Rate (%),31.37,40.19,25.05,37.26,0,26.27,24.66,22.27,9.76,17.67
Dvd Payout Ratio (%),117.14,0,0,0,0,0,0,0,0,0
Sustainable Growth Rate (%),0,0,0,0,0,0,0,0,0,0
