,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,1,140,890,876,1580,1601,1603,4488,3436,3261
ST Debt,1,140,11,15,0,1,1,1100,319,320
LT Debt,0,0,879,861,1580,1600,1602,3388,3117,2942
Total Debt/EBITDA,0.00,0.11,1.10,1.01,1.58,1.72,1.48,-14.84,2.90,2.38
Net Debt/EBITDA,-0.67,-0.56,-0.78,-0.51,-1.09,0.38,0.34,-2.86,-0.36,0.66
Total Debt/EBIT,0.00,0.13,1.44,1.34,2.01,2.39,1.97,-8.15,3.55,2.77
Net Debt/EBIT,-0.74,-0.65,-1.03,-0.68,-1.39,0.52,0.45,-1.57,-0.44,0.77
EBITDA to Interest Expense,0,0,-126.53,-32.12,-35.22,-12.58,-22.59,-5.03,16.62,23.36
EBITDA-CapEx/Interest Expense,0,0,-95.39,-17.39,-25.25,-8.97,-16.87,-8.45,15.00,21.76
EBIT to Interest Expense,0,0,-96.56,-24.29,-27.73,-9.06,-17.00,-9.16,13.56,20.03
Interest Expense,0,0,-6,-27,-28,-74,-48,60,71,59
Common Equity/Total Assets,-2.80,-5.92,-4.00,-2.07,1.89,1.83,4.28,-12.49,-1.86,-16.02
Long-Term Debt/Equity (%),0.02,0,35.31,32.10,52.62,49.31,45.59,148.82,95.62,128.70
Long-Term Debt/Capital (%),-0.49,0,124.94,111.14,93.46,92.88,84.43,96.84,95.01,140.23
Long-Term Debt/Total Assets (%),0.01,0,18.84,17.60,27.09,23.96,23.29,42.75,37.18,40.49
Total Debt/Equity (%),0.04,5.80,35.76,32.66,52.62,49.33,45.62,197.15,105.42,142.70
Total Debt/Capital (%),-1.00,-184.30,126.55,113.07,93.46,92.92,84.48,128.30,104.75,155.48
Total Debt/Total Assets (%),0.03,3.84,19.08,17.91,27.09,23.97,23.30,56.64,40.99,44.89
Net Debt to Equity,-47.07,-30.08,-25.52,-16.52,-36.42,10.81,10.50,38.00,-13.04,39.40
Net Debt/Capital (%),91.97,77.06,77.28,81.40,111.24,74.20,55.61,41.92,-33.62,68.86
EBITDA,1688,1309,810,864,1000,931,1082,-302,1187,1371
EBITDA-CapEx,1446,1090,611,468,717,664,808,-508,1071,1277
Operating Income (Loss),1525,1120,618,654,787,671,814,-551,968,1176
