,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,15.59,12.26,23.97,24.03,22.25,33.54,14.27,0,14.04,9.63
Price/Earnings Average,15.12,17.97,25.53,20.71,18.70,32.79,17.49,-9.64,10.19,11.85
Price/Earnings High,17.27,21.18,30.06,25.40,22.68,39.85,24.45,-13.86,16.55,14.52
Price/Earnings Low,12.53,11.95,22.42,16.41,16.18,27.79,12.56,-4.35,4.05,8.15
Price/Book Value,-162.46,-43.64,-51.81,-109.59,119.55,110.36,30.90,-3.72,-75.68,-6.47
Price/Book Value Average,-157.57,-64.00,-55.17,-94.47,100.48,107.90,37.87,-6.30,-54.94,-7.96
Price/Book Value High,-179.96,-75.43,-64.96,-115.83,121.84,131.12,52.93,-9.05,-89.16,-9.75
Price/Book Value Low,-130.53,-42.54,-48.45,-74.83,86.92,91.43,27.20,-2.84,-21.83,-5.47
Price/Tangible Book Value,7.83,4.61,5.71,6.05,6.06,490.97,31.90,-9.12,20.02,-23.33
Price/Tangible Book Value Average,7.60,6.77,6.08,5.22,5.09,480.05,39.09,-15.43,14.53,-28.71
Price/Tangible Book Value High,8.68,7.98,7.16,6.40,6.17,583.36,54.64,-22.17,23.59,-35.18
Price/Tangible Book Value Low,6.29,4.50,5.34,4.13,4.40,406.77,28.08,-6.96,5.77,-19.73
Price/Sales,3.18,1.99,2.30,2.46,2.93,2.27,1.52,0.75,2.04,1.23
Price/Sales Average,3.08,2.92,2.45,2.12,2.46,2.22,1.87,1.27,1.48,1.52
Price/Sales High,3.52,3.44,2.89,2.60,2.99,2.69,2.61,1.82,2.40,1.86
Price/Sales Low,2.55,1.94,2.15,1.68,2.13,1.88,1.34,0.57,0.59,1.04
Price/Cash Flow,11.41,9.72,10.29,14.59,15.40,13.38,11.60,9.14,8.85,9.67
Price/Cash Flow Average,11.06,14.25,10.96,12.57,12.94,13.08,14.21,15.45,6.42,11.90
Price/Cash Flow High,12.63,16.80,12.90,15.42,15.70,15.89,19.87,22.21,10.43,14.57
Price/Cash Flow Low,9.16,9.47,9.62,9.96,11.20,11.08,10.21,6.97,2.55,8.17
Price/Free Cash Flow,9.87,8.02,8.53,9.64,11.66,10.66,8.66,6.07,8.29,8.90
Price/Free Cash Flow Average,9.58,11.76,9.09,8.31,9.80,10.43,10.61,10.27,6.02,10.95
Price/Free Cash Flow High,10.94,13.86,10.70,10.19,11.88,12.67,14.83,14.76,9.76,13.42
Price/Free Cash Flow Low,7.93,7.82,7.98,6.58,8.47,8.84,7.62,4.63,2.39,7.53
EV/Sales,2.93,1.76,2.10,2.27,2.61,2.35,1.53,1.36,2.30,1.47
EV/Sales Average,2.85,2.73,2.31,2.03,2.23,2.30,1.91,1.87,1.74,1.76
EV/Sales High,3.29,3.25,2.74,2.51,2.76,2.78,2.65,2.42,2.66,2.07
EV/Sales Low,2.32,1.77,2.01,1.59,1.90,1.96,1.39,1.18,0.84,1.32
EV/EBITDA,8.82,6.45,10.88,11.80,11.70,14.82,8.50,0,11.12,7.17
EV/EBITDA Average,8.58,10.04,11.94,10.56,10.01,14.50,10.64,-30.70,8.40,8.56
EV/EBITDA High,9.89,11.93,14.20,13.07,12.37,17.54,14.74,-39.71,12.90,10.08
EV/EBITDA Low,6.99,6.48,10.39,8.26,8.51,12.35,7.74,-19.39,4.06,6.45
EV/EBIT,9.77,7.55,14.25,15.60,14.87,20.57,11.31,0,13.63,8.37
EV/EBIT Average,9.49,11.73,15.65,13.97,12.71,20.13,14.15,-16.86,10.30,9.98
EV/EBIT High,10.95,13.94,18.61,17.28,15.71,24.35,19.60,-21.81,15.81,11.75
EV/EBIT Low,7.74,7.58,13.62,10.92,10.81,17.14,10.29,-10.65,4.98,7.52
Last Price,57.09,34.47,34.99,39.86,46.86,46.71,31.73,13.35,42.16,31.21
High Price,63.24,59.58,43.87,42.13,47.76,55.50,54.35,32.44,49.67,47.05
Low Price,45.87,33.60,32.72,27.22,34.07,38.70,27.93,10.18,12.16,26.39
Enterprise Value,14888,8452,8809,10197,11706,13796,9204,6733,13196,9836
Enterprise Value Average,14475,13141,9670,9127,10010,13504,11520,9287,9974,11735
Enterprise Value High,16694,15618,11499,11290,12370,16335,15956,12014,15303,13820
Enterprise Value Low,11797,8490,8415,7138,8511,11496,8379,5865,4819,8837
