,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,0,0,0,0,0,0,0,0,0,17.59
Price/Earnings Average,0,0,0,0,-199.05,0,0,0,0,10.48
Price/Earnings High,0,0,0,0,-525.31,0,0,0,0,19.50
Price/Earnings Low,0,0,0,0,-47.48,0,0,0,0,0.88
Price/Book Value,0,0,0,0,-136.81,0,0,0,0,-26.51
Price/Book Value Average,0,0,0,0,-172.34,0,0,0,0,-15.81
Price/Book Value High,0,0,0,0,-454.83,0,0,0,0,-29.40
Price/Book Value Low,0,0,0,0,-41.11,0,0,0,0,-1.32
Price/Tangible Book Value,0,0,0,0,2.43,0,0,0,0,7.39
Price/Tangible Book Value Average,0,0,0,0,3.06,0,0,0,0,4.41
Price/Tangible Book Value High,0,0,0,0,8.08,0,0,0,0,8.20
Price/Tangible Book Value Low,0,0,0,0,0.73,0,0,0,0,0.37
Price/Sales,0,0,0,0,1.14,0,0,0,0,0.80
Price/Sales Average,0,0,0,0,1.43,0,0,0,0,0.48
Price/Sales High,0,0,0,0,3.78,0,0,0,0,0.89
Price/Sales Low,0,0,0,0,0.34,0,0,0,0,0.04
Price/Cash Flow,0,0,0,0,10.66,0,0,0,0,7.02
Price/Cash Flow Average,0,0,0,0,13.43,0,0,0,0,4.18
Price/Cash Flow High,0,0,0,0,35.45,0,0,0,0,7.78
Price/Cash Flow Low,0,0,0,0,3.20,0,0,0,0,0.35
Price/Free Cash Flow,0,0,0,0,4.48,0,0,0,0,4.57
Price/Free Cash Flow Average,0,0,0,0,5.64,0,0,0,0,2.73
Price/Free Cash Flow High,0,0,0,0,14.89,0,0,0,0,5.07
Price/Free Cash Flow Low,0,0,0,0,1.35,0,0,0,0,0.23
EV/Sales,0.74,0.62,1.60,0.82,1.84,0.77,1.31,1.34,0.61,1.45
EV/Sales Average,0.74,0.62,1.60,0.82,2.16,0.77,1.31,1.34,0.61,1.13
EV/Sales High,0.74,0.62,1.60,0.82,4.62,0.77,1.31,1.34,0.61,1.53
EV/Sales Low,0.74,0.62,1.60,0.82,1.01,0.77,1.31,1.34,0.61,0.69
EV/EBITDA,7.60,5.40,9.44,5.36,15.04,6.38,8.06,5.24,4.72,10.72
EV/EBITDA Average,7.60,5.40,9.44,5.36,17.57,6.38,8.06,5.24,4.72,8.34
EV/EBITDA High,7.60,5.40,9.44,5.36,37.70,6.38,8.06,5.24,4.72,11.36
EV/EBITDA Low,7.60,5.40,9.44,5.36,8.23,6.38,8.06,5.24,4.72,5.13
EV/EBIT,13.21,8.36,23.66,20.83,59.90,18.03,26.00,8.87,7.82,17.51
EV/EBIT Average,13.21,8.36,23.66,20.83,69.97,18.03,26.00,8.87,7.82,13.63
EV/EBIT High,13.21,8.36,23.66,20.83,150.09,18.03,26.00,8.87,7.82,18.55
EV/EBIT Low,13.21,8.36,23.66,20.83,32.76,18.03,26.00,8.87,7.82,8.38
Last Price,0,0,0,0,48.42,0,0,0,0,73.50
High Price,0,0,0,0,160.97,0,0,0,0,81.50
Low Price,0,0,0,0,14.55,0,0,0,0,3.66
Enterprise Value,4865,5357,10629,5474,16263,8065,11339,11110,10390,30277
Enterprise Value Average,4865,5357,10629,5474,18998,8065,11339,11110,10390,23566
Enterprise Value High,4865,5357,10629,5474,40750,8065,11339,11110,10390,32085
Enterprise Value Low,4865,5357,10629,5474,8894,8065,11339,11110,10390,14490
