,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.26,0.25,0.18,0.48,0.66,0.16,0.16,0.18,0.27,0.19
Current Ratio,1.45,1.53,1.21,1.42,1.63,1.03,1.02,0.98,1.22,1.04
Quick Ratio,0.88,0.92,0.75,1.04,1.23,0.68,0.67,0.65,0.80,0.63
CFO/Avg Current Liab,0.79,0.70,0.57,0.60,0.55,0.52,0.52,0.54,0.60,0.30
Common Equity/Total Assets,59.11,62.42,64.84,32.05,24.11,21.96,24.14,27.54,30.58,30.68
Long-Term Debt/Equity (%),29.19,28.45,27.53,21.23,33.20,64.02,55.71,38.92,35.86,32.72
Long-Term Debt/Capital (%),22.03,21.27,19.61,27.24,40.28,52.89,48.81,39.43,39.45,34.37
Long-Term Debt/Total Assets (%),17.62,17.40,16.61,13.33,18.28,29.64,26.18,20.37,19.93,18.23
Total Debt/Equity (%),33.95,31.17,32.86,26.89,38.63,73.59,62.73,46.03,35.86,40.12
Total Debt/Capital (%),25.63,23.30,23.41,34.49,46.87,60.80,54.95,46.64,39.45,42.15
Total Debt/Total Assets (%),20.49,19.06,19.83,16.87,21.26,34.08,29.47,24.09,19.93,22.36
CFO/Total Liabilities,28.27,27.04,24.31,29.76,21.32,15.69,16.62,20.50,23.79,12.15
CFO/CapEx,5.85,7.41,8.07,15.48,9.43,7.20,8.48,11.83,16.28,9.06
Altman's Z-Score,8.21,7.32,6.48,7.28,6.51,5.58,4.78,6.03,7.58,5.61
