,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,3484,3982,4201,4223,4793,5373,5618,6207,7672,6488
+ Sales & Services Revenue,3484,3982,4201,4223,4793,5373,5618,6207,7672,6488
- Cost of Revenue,1274,1473,1595,1636,1812,2247,2385,2616,2993,2922
+ Cost of Goods & Services,1274,1473,1595,1636,1812,2247,2385,2616,2993,2922
Gross Profit,2210,2509,2606,2587,2981,3126,3233,3590,4679,3566
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,573,618,707,788,922,780,846,845,969,1070
"+ Selling, General & Admin",225,220,239,253,287,780,846,845,969,1070
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,348,398,468,535,635,0,0,0,0,0
Operating Income (Loss),1637,1891,1899,1800,2059,2346,2387,2746,3710,2496
- Non-Operating (Income) Loss,-63,-112,-103,-161,-446,-38,-540,-496,-285,548
"+ Interest Expense, Net",0,0,0,0,0,0,0,0,0,0
+ Interest Expense,0,0,0,0,0,0,0,0,0,0
- Interest Income,0,0,0,0,0,0,0,0,0,0
+ Other Non-Op (Income) Loss,-63,-112,-103,-161,-446,-38,-540,-496,-285,548
Pretax Income,1700,2003,2002,1961,2505,2385,2927,3242,3995,1948
- Income Tax Expense (Benefit),653,774,779,707,924,616,678,719,896,499
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,1048,1230,1223,1254,1581,1769,2249,2523,3099,1450
- Net Extraordinary Losses (Gains),0,0,0,78,167,-138,235,301,31,-217
+ Discontinued Operations,0,0,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,0,0,0,78,167,-138,235,301,31,-217
Income (Loss) Incl. MI,1048,1230,1223,1176,1414,1906,2014,2222,3067,1666
- Minority Interest,0,0,0,-39,-83,69,-118,-151,-16,108
"Net Income, GAAP",1048,1230,1223,1215,1498,1838,2131,2373,3083,1558
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",1048,1230,1223,1215,1498,1838,2131,2373,3083,1558
Basic Weighted Avg Shares,258,260,255,246,241,242,235,229,227,226
"Basic EPS, GAAP",4.06,4.74,4.80,4.95,6.21,7.59,9.05,10.37,13.61,6.89
Basic EPS from Cont Ops,4.06,4.74,4.80,5.11,6.56,7.30,9.55,11.03,13.67,6.41
Diluted Weighted Avg Shares,266,267,261,250,245,247,239,231,229,227
"Diluted EPS, GAAP",3.93,4.60,4.69,4.85,6.11,7.44,8.93,10.26,13.47,6.86
Diluted EPS from Cont Ops,3.93,4.60,4.69,5.01,6.45,7.16,9.43,10.91,13.54,6.38
EBITDA,1728,2003,2025,1933,2202,2506,2578,2935,3915,3142
EBITDA Margin (%),49.61,50.29,48.21,45.77,45.95,46.64,45.89,47.29,51.03,48.42
EBITA,1637,1891,1899,1800,2059,2346,2387,2746,3710,2496
EBIT,1637,1891,1899,1800,2059,2346,2387,2746,3710,2496
Gross Margin (%),63.43,63.00,62.03,61.27,62.20,58.18,57.55,57.85,60.98,54.96
Operating Margin (%),47.00,47.48,45.21,42.62,42.95,43.67,42.49,44.24,48.36,38.47
Profit Margin (%),30.07,30.88,29.11,28.77,31.25,34.20,37.94,38.23,40.18,24.01
Sales per Employee,614714,678382,700217,667230,696556,765110,762783,808375,1018980,824657
Dividend per Share,1.54,1.78,4.16,2.20,2.33,2.87,3.12,3.70,7.51,4.90
Depreciation Expense,91,112,126,133,144,160,191,190,205,646
