,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,9.80,9.02,6.11,5.47,6.70,5.04,7.23,7.89,2.99,3.88
Current Ratio,12.60,11.67,8.44,7.54,8.67,6.99,9.86,11.06,5.07,5.53
Quick Ratio,12.60,11.67,8.44,7.54,8.67,6.99,9.86,11.06,5.07,5.53
CFO/Avg Current Liab,6.04,8.34,8.40,0.83,0.91,5.72,5.76,7.39,8.83,4.91
Common Equity/Total Assets,74.21,79.77,78.73,69.76,66.12,71.68,69.56,66.38,64.95,72.61
Long-Term Debt/Equity (%),0,0,0,0,0,0,1.78,1.66,2.43,3.40
Long-Term Debt/Capital (%),0,0,0,0,0,0,1.89,1.75,2.59,3.42
Long-Term Debt/Total Assets (%),0,0,0,0,0,0,1.57,1.45,1.99,2.83
Total Debt/Equity (%),0,0,0,0,0,0,1.78,1.66,2.43,3.40
Total Debt/Capital (%),0,0,0,0,0,0,1.89,1.75,2.59,3.42
Total Debt/Total Assets (%),0,0,0,0,0,0,1.57,1.45,1.99,2.83
CFO/Total Liabilities,573.58,518.18,436.76,32.22,31.99,21.07,137.51,138.02,153.06,120.60
CFO/CapEx,11.66,10.23,9.96,1.15,1.23,9.61,7.44,8.94,14.44,9.93
Altman's Z-Score,64.64,58.37,35.41,24.11,24.58,4.94,18.43,17.56,15.87,10.96
