,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,6346,6349,6344,6437,6571,6564,6558,6550,7290,7292
ST Debt,100,500,500,550,600,600,600,100,100,100
LT Debt,6246,5849,5844,5887,5971,5964,5958,6450,7190,7192
Total Debt/EBITDA,7.32,7.35,7.76,7.79,8.08,8.17,8.60,8.30,8.38,8.83
Net Debt/EBITDA,6.98,6.92,7.29,7.42,7.66,7.71,7.95,7.39,7.50,7.86
Total Debt/EBIT,0,0,0,0,0,0,0,0,0,0
Net Debt/EBIT,0,0,0,0,0,0,0,0,0,0
EBITDA to Interest Expense,2.40,2.34,2.19,2.28,2.20,2.28,2.22,2.33,2.56,2.35
EBITDA-CapEx/Interest Expense,2.40,2.34,2.19,2.28,2.20,2.28,2.22,2.33,2.56,2.35
EBIT to Interest Expense,0,0,0,0,0,0,0,0,0,0
Interest Expense,361,369,373,363,369,352,344,339,340,351
Common Equity/Total Assets,44.11,47.63,52.02,54.68,54.45,55.98,54.89,53.54,54.55,58.83
Long-Term Debt/Equity (%),25.19,23.55,24.76,25.35,25.16,26.05,22.97,22.09,24.89,33.36
Long-Term Debt/Capital (%),11.98,10.55,10.00,9.61,9.49,9.19,8.89,9.34,9.85,9.54
Long-Term Debt/Total Assets (%),6.02,5.67,5.83,5.87,5.77,5.72,5.41,5.52,5.97,6.22
Total Debt/Equity (%),25.59,25.56,26.88,27.72,27.69,28.67,25.28,22.43,25.24,33.82
Total Debt/Capital (%),12.17,11.45,10.85,10.51,10.44,10.11,9.79,9.48,9.99,9.67
Total Debt/Total Assets (%),6.11,6.16,6.33,6.42,6.35,6.30,5.96,5.61,6.05,6.30
Net Debt to Equity,24.41,24.06,25.27,26.40,26.24,27.04,23.37,19.96,22.60,30.12
Net Debt/Capital (%),11.67,10.85,10.27,10.06,9.95,9.59,9.12,8.53,9.04,8.71
EBITDA,867,864,818,826,813,803,763,789,870,826
EBITDA-CapEx,867,864,818,826,813,803,763,789,870,826
Operating Income (Loss),0,0,0,0,0,0,0,0,0,0
