,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,140,136,134,131,125,122,118,116,113,110
Diluted Weighted Avg Shares,142,139,137,134,128,123,121,117,116,112
Basic Weighted Avg Shares,139,138,136,133,128,123,120,116,115,111
Revenue per Share,37.05,41.46,45.92,51.01,56.87,64.50,69.76,91.26,110.90,127.58
EBITDA per Share,4.41,5.11,5.71,6.30,6.68,7.17,7.84,11.03,13.74,15.97
Operating Income per Share,3.69,4.28,4.80,5.22,5.38,5.72,6.21,9.16,11.38,12.89
"Basic EPS, GAAP",2.35,2.69,3.03,3.29,3.31,4.34,4.70,6.44,8.69,9.78
Basic EPS from Cont Ops,2.35,2.69,3.03,3.29,3.31,4.34,4.70,6.44,8.69,9.78
"Diluted EPS, GAAP",2.32,2.66,3.00,3.27,3.30,4.31,4.66,6.38,8.61,9.71
Diluted EPS from Cont Ops,2.32,2.66,3.00,3.27,3.30,4.31,4.66,6.38,8.61,9.71
Dividend per Share,0.49,0.61,0.76,0.92,1.05,1.20,1.36,1.50,2.08,3.68
Cash Flow per Share,2.39,2.97,3.17,4.81,4.95,5.66,6.78,11.98,9.92,12.19
Free Cash Flow per Basic Share,0.83,1.80,1.42,3.11,2.99,3.39,4.96,9.46,4.45,5.24
Cash & Equivalents per Share,1.02,0.37,0.48,0.41,0.87,0.71,0.71,11.54,7.76,1.84
Book Value per Share,11.69,14.08,16.59,19.43,22.59,26.39,30.59,36.03,43.73,51.03
Tangible Book Value per Share,8.85,9.41,10.30,10.15,10.33,11.80,12.21,16.07,17.21,16.23
