,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,0,0,0,0,0,0,0,0,0,0
Days Sales Outstanding,0,0,0,0,0,0,0,0,0,0
Inventory Turnover,3.61,3.59,3.40,3.36,3.38,3.42,3.43,4.05,4.15,3.77
Days Inventory Outstanding,100.98,101.64,107.26,108.74,108.13,106.61,106.31,90.10,87.88,96.87
Accounts Payable Turnover,10.94,11.34,10.66,9.59,8.85,8.93,8.70,8.70,8.13,7.64
Accounts Payable Turnover Days,33.38,32.18,34.25,38.06,41.26,40.86,41.96,41.98,44.91,47.80
Cash Conversion Cycle,67.60,69.45,73.01,70.68,66.87,65.76,64.35,48.12,42.96,49.07
Inventory to Cash Days,-100.98,-101.64,-107.26,-108.74,-108.13,-106.61,-106.31,-90.10,-87.88,-96.87
Inventories,979,1115,1284,1370,1453,1590,1603,1783,2191,2710
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,979,1115,1284,1370,1453,1590,1603,1783,2191,2710
