,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,0,0,0,0,0,0,0,939.46,191.22,30.64
Price/Earnings Average,-168.15,-94.59,-33.18,-44.82,-26.60,-55.45,-56.17,389.90,139.15,65.44
Price/Earnings High,-313.82,-123.43,-41.35,-57.55,-32.97,-67.72,-89.59,941.92,222.16,100.16
Price/Earnings Low,-51.81,-57.89,-26.17,-30.14,-17.85,-42.75,-36.42,94.79,96.38,26.92
Price/Book Value,-16.47,-19.48,-13.47,-11.52,-10.57,-10.84,-12.35,-123.56,3330.30,30.24
Price/Book Value Average,-11.26,-19.58,-13.02,-11.31,-10.67,-10.30,-8.13,-51.28,2423.48,64.59
Price/Book Value High,-21.01,-25.55,-16.22,-14.52,-13.22,-12.58,-12.96,-123.89,3869.05,98.85
Price/Book Value Low,-3.47,-11.98,-10.27,-7.60,-7.16,-7.94,-5.27,-12.47,1678.59,26.57
Price/Tangible Book Value,28.73,30.64,29.08,6.24,10.09,9.66,9.92,28.80,37.02,8.60
Price/Tangible Book Value Average,19.64,30.79,28.09,6.13,10.18,9.18,6.53,11.95,26.94,18.37
Price/Tangible Book Value High,36.65,40.17,35.01,7.87,12.62,11.22,10.41,28.88,43.01,28.12
Price/Tangible Book Value Low,6.05,18.84,22.15,4.12,6.83,7.08,4.23,2.91,18.66,7.56
Price/Sales,9.04,8.65,7.54,4.40,4.40,2.65,2.99,20.56,19.61,4.73
Price/Sales Average,6.18,8.70,7.29,4.32,4.44,2.52,1.97,8.53,14.27,10.11
Price/Sales High,11.54,11.35,9.08,5.55,5.50,3.08,3.14,20.61,22.78,15.47
Price/Sales Low,1.90,5.32,5.75,2.91,2.98,1.94,1.28,2.07,9.88,4.16
Price/Cash Flow,70.56,-482.70,-58.20,-248.86,-852.11,27.15,30.59,109.07,91.79,26.19
Price/Cash Flow Average,48.24,-485.09,-56.22,-244.30,-860.23,25.80,20.13,45.27,66.80,55.93
Price/Cash Flow High,90.03,-632.98,-70.07,-313.67,-1066.30,31.51,32.11,109.36,106.64,85.60
Price/Cash Flow Low,14.86,-296.85,-44.34,-164.27,-577.36,19.89,13.06,11.01,46.27,23.01
Price/Free Cash Flow,34.86,30.33,27.49,859.84,85.30,24.59,29.25,81.92,61.94,19.55
Price/Free Cash Flow Average,23.83,30.48,26.56,844.06,86.12,23.36,19.25,34.00,45.07,41.75
Price/Free Cash Flow High,44.48,39.77,33.10,1083.76,106.74,28.53,30.71,82.14,71.95,63.91
Price/Free Cash Flow Low,7.34,18.65,20.94,567.55,57.80,18.01,12.48,8.27,31.22,17.18
EV/Sales,9.20,9.11,8.27,5.63,5.18,3.14,3.41,20.95,20.37,4.49
EV/Sales Average,6.26,9.16,8.00,5.54,5.22,3.00,2.36,8.58,14.78,10.00
EV/Sales High,11.78,11.83,9.84,6.91,6.30,3.57,3.56,21.01,23.69,15.42
EV/Sales Low,1.85,5.75,6.42,3.95,3.74,2.42,1.66,1.94,10.18,3.98
EV/EBITDA,413.68,644.23,0,140.88,15546.86,40.83,37.48,153.10,116.53,20.82
EV/EBITDA Average,281.19,647.29,-110.12,138.61,15674.69,39.09,25.99,62.70,84.54,46.34
EV/EBITDA High,529.24,836.44,-135.44,173.01,18919.35,46.45,39.15,153.51,135.56,71.46
EV/EBITDA Low,83.07,406.53,-88.40,98.93,11220.71,31.48,18.21,14.16,58.25,18.46
EV/EBIT,0,0,0,0,0,0,1046.62,331.39,168.75,26.45
EV/EBIT Average,-205.56,-156.86,-45.18,-58.11,-37.62,-254.84,725.81,135.72,122.42,58.89
EV/EBIT High,-386.90,-202.70,-55.57,-72.53,-45.41,-302.77,1093.26,332.27,196.30,90.81
EV/EBIT Low,-60.72,-98.52,-36.27,-41.47,-26.93,-205.24,508.61,30.65,84.35,23.47
Last Price,10.16,14.82,15.87,14.25,20.76,22.26,27.65,231.59,356.78,123.18
High Price,12.97,19.43,19.11,17.96,25.97,25.83,29.02,232.20,414.50,402.67
Low Price,2.14,9.11,12.09,9.40,14.06,16.31,11.80,23.37,179.83,108.24
Enterprise Value,18533,29146,33443,39411,60897,67303,83729,660798,1096182,365918
Enterprise Value Average,12597,29285,32380,38778,61398,64434,58064,270623,795247,814535
Enterprise Value High,23710,37842,39825,48402,74107,76553,87461,662545,1275177,1256145
Enterprise Value Low,3721,18392,25992,27676,43952,51893,40689,61107,547945,324579
