,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,23.91,23.63,25.04,23.33,23.79,23.57,21.77,20.94,21.62,21.41
Days Sales Outstanding,15.26,15.45,14.57,15.65,15.35,15.48,16.77,17.43,16.88,17.05
Inventory Turnover,11.38,11.46,12.18,11.47,11.11,10.35,9.81,9.16,9.51,9.42
Days Inventory Outstanding,32.07,31.86,29.97,31.81,32.85,35.28,37.20,39.84,38.40,38.74
Accounts Payable Turnover,23.45,22.34,21.37,20.19,20.99,20.75,20.98,19.90,19.88,20.28
Accounts Payable Turnover Days,15.56,16.34,17.08,18.07,17.39,17.59,17.40,18.34,18.36,18.00
Cash Conversion Cycle,31.77,30.96,27.47,29.38,30.80,33.18,36.58,38.93,36.92,37.80
Inventory to Cash Days,-16.81,-16.41,-15.40,-16.16,-17.50,-19.80,-20.44,-22.41,-21.52,-21.70
Inventories,2817,3274,2878,2732,3239,3513,4108,4144,4382,5514
Raw Materials,1394,1480,1247,1202,1292,1532,1746,1921,1956,2326
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,1423,1794,1631,1530,1947,1981,2362,2223,2426,3188
Other Inventory,0,0,0,0,0,0,0,0,0,0
