,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
+ Net Income,362,-279,-8,67,174,334,404,589,418,-1125
+ Depreciation & Amortization,282,155,163,259,145,265,237,233,279,1865
+ Non-Cash Items,89,76,95,103,113,359,263,85,313,116
+ Stock-Based Compensation,78,65,70,82,116,248,258,110,183,318
+ Deferred Income Taxes,-19,2,0,3,-33,111,-3,11,8,-411
+ Asset Impairment Charge,0,0,0,0,11,0,5,39,71,79
+ Other Non-Cash Adj,30,8,25,18,18,1,4,-75,51,130
+ Chg in Non-Cash Work Cap,-32,262,12,-98,-37,-114,-219,6,-752,-856
+ (Inc) Dec in Accts Receiv,136,-165,49,-42,-27,-98,-195,47,-18,107
+ (Inc) Dec in Inventories,0,10,4,-5,4,-14,8,3,4,0
+ (Inc) Dec in Prepaid Assets,-18,5,-12,-22,-75,-276,-260,-59,-208,77
+ Inc (Dec) in Accts Payable,194,79,170,189,199,201,300,79,-46,-405
+ Inc (Dec) in Other,-344,333,-200,-218,-138,73,-72,-64,-485,-635
+ Net Cash From Disc Ops,-1,0,0,0,0,0,0,0,0,0
Cash from Operating Activities,700,213,261,331,394,844,686,912,258,1
+ Change in Fixed & Intang,0,0,0,0,0,0,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0,0,0,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0,0,0,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Acq of Fixed & Intang,-30,-50,-37,-21,-88,-67,-53,-69,-159,-204
+ Acq of Fixed Prod Assets,-30,-50,-37,-21,-62,-67,-53,-69,-159,-204
+ Acq of Intangible Assets,0,0,0,0,-26,0,0,0,0,0
+ Net Change in LT Investment,0,-171,-105,-66,-134,-128,69,-635,458,647
+ Dec in LT Investment,0,22,46,157,241,325,597,594,1227,663
+ Inc in LT Investment,0,-193,-151,-224,-375,-454,-528,-1229,-769,-16
+ Net Cash From Acq & Div,-1,0,0,-131,-9,-28,-12,-102,-161,-3311
+ Cash from Divestitures,0,0,0,0,0,0,0,0,0,0
+ Cash for Acq of Subs,-1,0,0,-131,-9,-28,-12,-102,-161,-3311
+ Cash for JVs,0,0,0,0,0,0,0,0,0,0
+ Other Investing Activities,0,0,-183,89,-41,0,0,0,1,-8
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,-31,-220,-325,-129,-272,-224,4,-807,139,-2876
+ Dividends Paid,0,0,0,0,0,0,0,0,0,0
+ Net Cash From Debt,146,0,0,0,0,0,0,0,0,1882
+ Cash From Debt,368,0,0,0,0,0,0,0,0,3249
+ Repayments of Debt,-222,0,0,0,0,0,0,0,0,-1367
+ Cash (Repurchase) of Equity,-277,0,-27,0,-155,-362,11,14,-180,65
+ Increase in Capital Stock,0,0,0,0,0,0,11,14,20,65
+ Decrease in Capital Stock,-277,0,-27,0,-155,-362,0,0,-200,0
+ Other Financing Activities,-3,1,-21,-50,-127,-101,-88,-72,-76,-17
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,-134,1,-48,-50,-281,-464,-77,-57,-257,1930
Effect of Foreign Exchange Rates,-3,-18,-1,-8,25,-11,-11,19,-5,-16
Net Changes in Cash,536,-6,-111,153,-159,156,612,48,140,-945
EBITDA,698,-104,224,351,295,467,662,862,754,700
EBITDA Margin (%),29.68,-9.57,15.84,19.70,16.47,17.48,21.43,25.56,21.51,13.09
Net Cash Paid for Acquisitions,1,0,0,131,9,28,12,102,161,3311
Free Cash Flow,670,163,224,310,306,777,632,843,99,-203
Free Cash Flow to Firm,703,0,0,324,0,0,598,849,121,0
Free Cash Flow to Equity,816,163,224,310,332,777,632,843,99,1679
Free Cash Flow per Basic Share,7.93,2.03,2.69,3.44,2.78,6.86,5.59,7.36,0.86,-1.27
Price/Free Cash Flow,3.35,7.72,10.40,15.71,22.92,11.94,18.30,20.88,43.75,90.81
Cash Flow to Net Income,1.94,-0.76,-31.47,4.92,2.27,2.53,1.70,1.55,0.62,0.00
