,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Market Capitalization,1910,2227,3224,6044,11151,10587,13452,20394,18004,19692
- Cash & Cash Equivalents,935,911,799,943,809,827,1358,1423,1732,827
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
+ Total Debt,454,476,498,252,8,0,177,191,250,3487
Enterprise Value,1429,1605,2452,4904,9734,9016,11627,17854,15702,22165
Total Capital,576,318,332,153,83,879,1461,2064,2541,4653
Total Debt/Capital (%),78.84,149.51,149.99,164.19,9.73,0,12.13,9.27,9.85,74.94
Total Debt / EV,0.32,0.30,0.20,0.05,0.00,0,0.02,0.01,0.02,0.16
EV/Sales,0.61,1.48,1.73,2.76,5.43,3.38,3.76,5.29,4.48,4.14
EV/EBITDA,2.05,0,10.95,13.98,32.97,19.32,17.57,20.71,20.83,31.66
EV/EBIT,3.44,0,40.56,53.71,64.76,44.69,27.34,28.38,33.10,0
EV/Cash Flow to Firm,1.95,6.54,9.16,14.21,24.79,11.18,17.84,19.45,56.07,181.60
EV/Free Cash Flow to Firm,1.87,5.44,8.04,13.39,20.27,10.33,16.49,18.10,35.80,67.94
Diluted Market Cap,2446,2026,3106,5541,11036,10871,13526,20489,18228,18643
Diluted Enterprise Value,1965,1591,2806,4849,10235,10045,12346,19258,16746,21302
EV per Share,16.07,18.17,28.33,47.79,85.36,80.37,102.44,155.03,136.11,131.23
TTM Sales,2351,1083,1414,1780,1793,2668,3089,3373,3505,5350
TTM EBITDA,698,-104,224,351,295,467,662,862,754,700
TTM Operating Income,415,-258,60,91,150,202,425,629,474,-1165
TTM Cash Flow to Firm,733,245,268,345,393,806,652,918,280,122
TTM Free Cash Flow to Firm,762,295,305,366,480,873,705,987,439,326
