,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cash Ratio,1.97,1.14,1.04,0.83,0.82,0.80,0.98,1.22,1.21,0.26
Current Ratio,2.95,1.84,1.68,1.30,1.40,1.45,1.71,1.89,1.84,0.65
Quick Ratio,2.08,1.36,1.18,0.96,0.97,1.01,1.27,1.47,1.49,0.48
CFO/Avg Current Liab,1.73,0.30,0.24,0.23,0.23,0.46,0.34,0.43,0.12,0.00
Common Equity/Total Assets,6.77,-7.07,-6.41,-3.13,2.00,20.72,25.93,31.06,34.99,7.35
Long-Term Debt/Equity (%),56.63,84.54,85.65,25.10,0.54,0,5.99,4.79,5.55,23.00
Long-Term Debt/Capital (%),78.84,149.51,149.99,164.19,9.73,0,10.41,7.74,8.32,44.70
Long-Term Debt/Total Assets (%),25.23,21.34,19.22,8.00,0.22,0,3.07,2.65,3.23,13.11
Total Debt/Equity (%),56.63,84.54,85.65,25.10,0.54,0,6.98,5.74,6.57,38.56
Total Debt/Capital (%),78.84,149.51,149.99,164.19,9.73,0,12.13,9.27,9.85,74.94
Total Debt/Total Assets (%),25.23,21.34,19.22,8.00,0.22,0,3.58,3.17,3.82,21.98
CFO/Total Liabilities,70.18,12.76,13.01,15.45,17.52,38.30,28.46,33.84,9.43,0.02
CFO/CapEx,23.49,4.30,7.01,15.66,4.50,12.60,12.84,13.24,1.63,0.01
Altman's Z-Score,4.58,1.32,2.06,2.80,4.21,4.65,5.30,6.68,6.09,2.16
