,2019,2020,2021,2022
Total Debt,5223,5390,5855,6005
ST Debt,317,218,250,328
LT Debt,4906,5172,5605,5677
Total Debt/EBITDA,7.21,7.18,7.75,6.57
Net Debt/EBITDA,6.93,6.92,7.49,6.36
Total Debt/EBIT,24.15,40.85,43.16,25.55
Net Debt/EBIT,23.20,39.35,41.73,24.74
EBITDA to Interest Expense,5.12,5.10,5.25,5.62
EBITDA-CapEx/Interest Expense,3.82,3.92,4.09,4.17
EBIT to Interest Expense,1.53,0.90,0.94,1.44
Interest Expense,141,147,144,163
Common Equity/Total Assets,-25.52,-27.84,-32.31,-31.24
Long-Term Debt/Equity (%),111.30,125.69,117.42,114.95
Long-Term Debt/Capital (%),127.13,142.37,149.53,164.97
Long-Term Debt/Total Assets (%),50.91,53.67,52.02,51.43
Total Debt/Equity (%),118.48,130.99,122.65,121.60
Total Debt/Capital (%),135.33,148.37,156.19,174.50
Total Debt/Total Assets (%),54.20,55.93,54.34,54.40
Net Debt to Equity,113.79,126.20,118.59,117.74
Net Debt/Capital (%),130.25,143.01,151.07,169.03
EBITDA,724,751,755,915
EBITDA-CapEx,540,576,589,679
Operating Income (Loss),216,132,136,235
