,2019,2020,2021,2022
Price/Earnings,73.65,0,0,150.99
Price/Earnings Average,72.43,0,0,176.97
Price/Earnings High,79.82,0,0,238.04
Price/Earnings Low,60.22,0,0,113.84
Price/Book Value,-5.59,0,0,-3.70
Price/Book Value Average,-5.50,0,0,-4.33
Price/Book Value High,-6.06,0,0,-5.83
Price/Book Value Low,-4.57,0,0,-2.79
Price/Tangible Book Value,3.15,0,0,2.60
Price/Tangible Book Value Average,3.10,0,0,3.05
Price/Tangible Book Value High,3.42,0,0,4.11
Price/Tangible Book Value Low,2.58,0,0,1.96
Price/Sales,11.56,0,0,8.21
Price/Sales Average,11.37,0,0,9.62
Price/Sales High,12.53,0,0,12.94
Price/Sales Low,9.45,0,0,6.19
Price/Cash Flow,21.12,0,0,15.19
Price/Cash Flow Average,20.77,0,0,17.81
Price/Cash Flow High,22.89,0,0,23.95
Price/Cash Flow Low,17.27,0,0,11.45
Price/Free Cash Flow,16.39,0,0,11.83
Price/Free Cash Flow Average,16.11,0,0,13.87
Price/Free Cash Flow High,17.76,0,0,18.66
Price/Free Cash Flow Low,13.40,0,0,8.92
EV/Sales,17.42,5.09,5.60,12.94
EV/Sales Average,17.22,5.09,5.60,14.38
EV/Sales High,18.42,5.09,5.60,17.78
EV/Sales Low,15.24,5.09,5.60,10.87
EV/EBITDA,27.71,8.41,9.57,21.46
EV/EBITDA Average,27.39,8.41,9.57,23.86
EV/EBITDA High,29.30,8.41,9.57,29.49
EV/EBITDA Low,24.25,8.41,9.57,18.03
EV/EBIT,92.80,47.85,53.29,83.51
EV/EBIT Average,91.74,47.85,53.29,92.84
EV/EBIT High,98.12,47.85,53.29,114.77
EV/EBIT Low,81.19,47.85,53.29,70.17
Last Price,46.70,0,0,38.73
High Price,50.61,0,0,61.06
Low Price,38.18,0,0,29.20
Enterprise Value,20067,6314,7229,19630
Enterprise Value Average,19838,6314,7229,21822
Enterprise Value High,21219,6314,7229,26976
Enterprise Value Low,17558,6314,7229,16495
