,2019,2020,2021,2022
Shares Outstanding,295,297,318,329
Diluted Weighted Avg Shares,286,295,302,323
Basic Weighted Avg Shares,285,295,300,322
Revenue per Share,4.04,4.21,4.30,4.72
EBITDA per Share,2.54,2.55,2.52,2.84
Operating Income per Share,0.76,0.45,0.45,0.73
"Basic EPS, GAAP",0.63,0.20,0.49,0.26
Basic EPS from Cont Ops,0.70,0.23,0.54,0.29
"Diluted EPS, GAAP",0.63,0.20,0.48,0.26
Diluted EPS from Cont Ops,0.70,0.23,0.53,0.29
Dividend per Share,1.36,1.44,1.46,1.52
Cash Flow per Share,2.21,2.05,2.21,2.55
Free Cash Flow per Basic Share,1.56,1.46,1.66,1.82
Cash & Equivalents per Share,0.03,0.00,0.00,0.00
Book Value per Share,-8.35,-9.04,-10.94,-10.48
Tangible Book Value per Share,14.81,13.72,14.86,14.87
