,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,0.67,1.47,0.80
Return on Capital (%),0,5.38,7.63,6.77
Return on Invested Capital (%),0,1.33,1.33,2.16
Gross Margin (%),25.03,17.29,17.67,21.82
EBITDA Margin (%),62.85,60.47,58.53,60.28
Operating Margin (%),18.77,10.63,10.51,15.49
Incremental Operating Margin (%),0,-94.74,7.47,43.86
Pretax Margin (%),17.65,5.76,12.58,6.12
Profit Margin (%),16.05,5.18,11.62,5.73
Net Income to Common Margin (%),15.70,4.84,11.29,5.44
Effective Tax Rate (%),1.89,3.56,0.89,0.38
Dvd Payout Ratio (%),182.32,603.85,258.60,515.44
Sustainable Growth Rate (%),0,0,0,0
