,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,21963,23988,21813,19941,21240,22832,21708,19533,21804,24875
+ Sales & Services Revenue,21963,23988,21813,19941,21240,22832,21708,19533,21804,24875
- Cost of Revenue,13668,14311,12837,11672,12231,13293,12094,10354,11290,13670
+ Cost of Goods & Services,13668,14311,12837,11672,12231,13293,12094,10354,11290,13670
Gross Profit,8295,9677,8976,8269,9009,9539,9614,9179,10514,11205
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,849,924,924,997,948,1022,1060,1345,1176,1288
"+ Selling, General & Admin",0,0,0,0,0,0,0,0,0,0
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,849,924,924,997,948,1022,1060,1345,1176,1288
Operating Income (Loss),7446,8753,8052,7272,8061,8517,8554,7834,9338,9917
- Non-Operating (Income) Loss,398,410,396,506,429,776,807,854,860,845
"+ Interest Expense, Net",522,557,617,687,703,840,987,1129,1152,1271
+ Interest Expense,526,561,622,698,719,870,1050,1141,1157,1271
- Interest Income,4,4,5,11,16,30,63,12,5,0
+ Other Non-Op (Income) Loss,-124,-147,-221,-181,-274,-64,-180,-275,-292,-426
Pretax Income,7048,8343,7656,6766,7632,7741,7747,6980,8478,9072
- Income Tax Expense (Benefit),2660,3163,2884,2533,-3080,1775,1828,1631,1955,2074
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,4388,5180,4772,4233,10712,5966,5919,5349,6523,6998
- Net Extraordinary Losses (Gains),0,0,0,0,0,0,0,0,0,0
+ Discontinued Operations,0,0,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,4388,5180,4772,4233,10712,5966,5919,5349,6523,6998
- Minority Interest,0,0,0,0,0,0,0,0,0,0
"Net Income, GAAP",4388,5180,4772,4233,10712,5966,5919,5349,6523,6998
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",4388,5180,4772,4233,10712,5966,5919,5349,6523,6998
Basic Weighted Avg Shares,927,897,866,832,798,751,704,677,654,623
"Basic EPS, GAAP",4.74,5.77,5.51,5.09,13.42,7.95,8.41,7.90,9.98,11.24
Basic EPS from Cont Ops,4.74,5.77,5.51,5.09,13.42,7.95,8.41,7.90,9.98,11.24
Diluted Weighted Avg Shares,932,901,869,835,802,754,706,679,655,624
"Diluted EPS, GAAP",4.71,5.75,5.49,5.07,13.36,7.91,8.38,7.88,9.95,11.21
Diluted EPS from Cont Ops,4.71,5.75,5.49,5.07,13.36,7.91,8.38,7.88,9.95,11.21
EBITDA,9223,10657,10064,9310,10166,10708,10770,10044,11546,12163
EBITDA Margin (%),41.99,44.43,46.14,46.69,47.86,46.90,49.61,51.42,52.95,48.90
EBITA,7446,8753,8052,7272,8061,8517,8554,7834,9338,9917
EBIT,7446,8753,8052,7272,8061,8517,8554,7834,9338,9917
Gross Margin (%),37.77,40.34,41.15,41.47,42.42,41.78,44.29,46.99,48.22,45.05
Operating Margin (%),33.90,36.49,36.91,36.47,37.95,37.30,39.40,40.11,42.83,39.87
Profit Margin (%),19.98,21.59,21.88,21.23,50.43,26.13,27.27,27.38,29.92,28.13
Sales per Employee,472882,508210,459637,464619,505811,544047,579143,630911,678745,749721
Dividend per Share,1.44,1.82,2.71,2.26,2.48,3.06,3.69,3.88,4.28,5.07
Depreciation Expense,1777,1904,2012,2038,2105,2191,2216,2210,2208,2246
