,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,7182,10191,6670,8892,14520,8107,12520,16610,23891,24651
- Cash & Cash Equivalents,175,158,179,312,352,43,52,202,144,106
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
+ Total Debt,7173,8052,8162,7790,9440,11747,11961,10231,10306,12012
Enterprise Value,14180,18085,14653,16370,23608,19811,24429,26639,34053,36557
Total Capital,7137,8556,9251,9445,12446,15849,17237,16397,17858,21669
Total Debt/Capital (%),100.50,94.11,88.23,82.48,75.85,74.12,69.39,62.40,57.71,55.43
Total Debt / EV,0.51,0.45,0.56,0.48,0.40,0.59,0.49,0.38,0.30,0.33
EV/Sales,2.86,3.18,2.52,2.84,3.55,2.46,2.61,3.12,3.50,3.14
EV/EBITDA,6.45,6.97,5.34,6.12,7.90,5.37,5.80,7.00,7.98,6.71
EV/EBIT,12.90,12.91,9.78,11.46,14.69,9.82,11.25,14.66,14.92,11.31
EV/Cash Flow to Firm,7.64,8.40,6.26,7.21,8.35,6.17,6.93,8.37,8.50,7.67
EV/Free Cash Flow to Firm,4.00,4.55,3.69,4.53,5.01,3.60,4.16,6.14,4.73,4.32
Diluted Market Cap,8183,10928,7006,9270,14715,8475,13082,16771,24016,25235
Diluted Enterprise Value,15181,18822,14989,16748,23803,20179,24991,26800,34178,37141
EV per Share,152.00,184.77,159.66,194.37,279.51,248.03,328.51,368.97,470.21,527.08
TTM Sales,4955,5685,5817,5762,6641,8047,9351,8530,9716,11642
TTM EBITDA,2197,2595,2742,2674,2990,3689,4209,3805,4265,5449
TTM Operating Income,1099,1401,1498,1429,1607,2018,2171,1817,2282,3232
TTM Cash Flow to Firm,1857,2154,2339,2271,2826,3210,3526,3181,4007,4767
TTM Free Cash Flow to Firm,3541,3975,3975,3610,4715,5501,5876,4339,7205,8457
