,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Return on Common Equity (%),30.44,37.46,36.51,32.61,24.46,113.32,112.41,208.08,334.98,34.13
Return on Assets (%),10.32,12.55,11.09,6.24,2.49,12.19,7.24,3.28,10.24,0.87
Return on Capital (%),16.95,26.20,20.79,12.26,6.28,30.39,20.78,8.41,21.02,0
Return on Invested Capital (%),18.92,19.12,16.73,10.65,3.78,18.53,13.83,5.25,12.57,0
Gross Margin (%),48.80,48.34,48.45,50.51,50.54,50.70,55.28,52.69,54.51,52.50
EBITDA Margin (%),17.17,16.78,14.82,15.19,12.53,14.27,14.48,9.71,16.04,11.41
Operating Margin (%),14.93,14.58,12.47,12.73,10.18,12.10,11.93,6.80,13.78,9.15
Incremental Operating Margin (%),21.67,-31.22,85.35,-1.86,13.61,12.64,12.64,49.85,38.58,248.30
Pretax Margin (%),11.01,12.77,11.78,11.99,9.66,11.03,6.93,4.94,12.86,0.37
Profit Margin (%),8.53,9.95,8.94,5.21,8.30,9.10,7.41,4.41,11.71,1.02
Net Income to Common Margin (%),8.53,9.95,8.94,5.21,8.30,9.10,7.41,4.41,11.71,1.02
Effective Tax Rate (%),22.54,22.07,17.17,49.08,11.21,17.57,13.48,22.25,20.15,0
Dvd Payout Ratio (%),36.07,45.90,50.04,82.74,69.45,60.93,140.97,213.24,63.57,592.70
Sustainable Growth Rate (%),19.46,20.27,18.24,5.63,7.47,44.28,-46.05,-235.62,122.03,-168.18
