,2019,2020,2021,2022
Total Debt,4792,6766,4695,13740
ST Debt,0,0,0,0
LT Debt,4792,6766,4695,13740
Total Debt/EBITDA,5.63,7.38,3.24,8.40
Net Debt/EBITDA,4.33,7.03,2.73,8.27
Total Debt/EBIT,5.65,7.41,3.25,8.42
Net Debt/EBIT,4.35,7.06,2.74,8.29
EBITDA to Interest Expense,3.43,2.97,3.69,3.03
EBITDA-CapEx/Interest Expense,3.42,2.96,3.68,3.03
EBIT to Interest Expense,3.41,2.96,3.68,3.02
Interest Expense,248,309,392,540
Common Equity/Total Assets,1.60,0.85,2.00,0.27
Long-Term Debt/Equity (%),59.53,71.26,38.52,61.64
Long-Term Debt/Capital (%),94.17,96.81,91.59,96.77
Long-Term Debt/Total Assets (%),36.12,39.65,26.68,36.57
Total Debt/Equity (%),59.53,71.26,38.52,61.64
Total Debt/Capital (%),94.17,96.81,91.59,96.77
Total Debt/Total Assets (%),36.12,39.65,26.68,36.57
Net Debt to Equity,45.84,67.93,32.45,60.70
Net Debt/Capital (%),92.56,96.66,90.17,96.72
EBITDA,851,917,1447,1636
EBITDA-CapEx,849,914,1445,1634
Operating Income (Loss),847,913,1444,1632
