,2019,2020,2021,2022
Cash Ratio,5.10,1.06,2.18,0.72
Current Ratio,5.10,11.01,11.42,30.08
Quick Ratio,5.11,11.01,11.42,30.08
CFO/Avg Current Liab,0,3.24,2.73,4.16
Common Equity/Total Assets,1.60,0.85,2.00,0.27
Long-Term Debt/Equity (%),59.53,71.26,38.52,61.64
Long-Term Debt/Capital (%),94.17,96.81,91.59,96.77
Long-Term Debt/Total Assets (%),36.12,39.65,26.68,36.57
Total Debt/Equity (%),59.53,71.26,38.52,61.64
Total Debt/Capital (%),94.17,96.81,91.59,96.77
Total Debt/Total Assets (%),36.12,39.65,26.68,36.57
CFO/Total Liabilities,13.08,11.67,16.57,12.71
CFO/CapEx,250.43,319.23,357.82,1035.93
Altman's Z-Score,1.74,1.57,2.73,1.99
