,2019,2020,2021,2022
Shares Outstanding,461,537,629,963
Diluted Weighted Avg Shares,439,511,577,880
Basic Weighted Avg Shares,435,506,564,878
Revenue per Share,2.06,2.42,2.67,2.96
EBITDA per Share,1.96,1.81,2.56,1.86
Operating Income per Share,1.95,1.80,2.56,1.86
"Basic EPS, GAAP",1.25,1.76,1.80,1.27
Basic EPS from Cont Ops,1.27,1.77,1.81,1.29
"Diluted EPS, GAAP",1.24,1.75,1.76,1.27
Diluted EPS from Cont Ops,1.26,1.75,1.77,1.29
Dividend per Share,1.16,1.21,1.34,1.39
Cash Flow per Share,1.57,1.75,1.59,2.21
Free Cash Flow per Basic Share,1.56,1.74,1.58,2.21
Cash & Equivalents per Share,2.52,0.63,1.18,0.44
Book Value per Share,0.46,0.27,0.56,0.11
Tangible Book Value per Share,17.46,17.69,19.38,23.14
