,2019,2020,2021,2022
Return on Common Equity (%),0,498.84,407.88,491.16
Return on Assets (%),0,5.88,5.85,4.05
Return on Capital (%),0,19.80,23.04,16.95
Return on Invested Capital (%),0,6.27,8.69,6.15
Gross Margin (%),97.89,97.27,96.78,96.84
EBITDA Margin (%),95.14,74.82,95.88,62.89
Operating Margin (%),94.71,74.52,95.68,62.77
Incremental Operating Margin (%),0,19.88,187.01,17.24
Pretax Margin (%),62.14,73.19,67.97,43.80
Profit Margin (%),61.02,72.76,67.16,42.97
Net Income to Common Margin (%),61.02,72.76,67.16,42.97
Effective Tax Rate (%),0.31,0.09,0.28,0.25
Dvd Payout Ratio (%),89.58,67.97,73.49,105.56
Sustainable Growth Rate (%),0,159.79,108.12,-27.31
