,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),15.10,17.69,16.89,8.88,14.63,10.36,7.68,-4.66,3.25,34.65
Return on Assets (%),5.93,7.82,8.88,5.06,8.44,6.22,4.66,-2.69,1.70,19.40
Return on Capital (%),11.81,13.88,13.38,7.29,0,8.14,5.71,0,2.73,30.26
Return on Invested Capital (%),9.80,13.71,14.52,9.11,0,10.85,9.09,0,5.96,44.45
Gross Margin (%),3.42,5.06,8.05,5.74,4.78,4.74,4.36,-1.21,2.70,9.50
EBITDA Margin (%),4.12,5.80,9.34,7.30,5.94,5.67,5.62,1.19,3.98,10.33
Operating Margin (%),2.87,4.51,7.24,4.80,3.83,3.91,3.54,-2.43,1.87,8.93
Incremental Operating Margin (%),90.22,-26.82,-1.06,22.48,-0.16,4.22,8.45,0,7.56,21.83
Pretax Margin (%),2.88,4.24,6.80,4.21,3.41,3.62,3.22,-3.10,1.35,8.68
Profit Margin (%),1.97,2.77,4.54,3.03,4.33,2.67,2.24,-2.19,0.82,6.54
Net Income to Common Margin (%),1.97,2.77,4.54,3.03,4.33,2.67,2.24,-2.19,0.82,6.54
Effective Tax Rate (%),31.49,32.01,31.32,24.04,0,20.77,20.14,0,16.53,22.39
Dvd Payout Ratio (%),16.89,14.68,20.13,43.65,29.24,38.20,47.43,-201.77,97.33,12.77
Sustainable Growth Rate (%),12.55,15.10,13.49,5.00,10.35,6.40,4.04,-14.07,0.09,30.22
