,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,2771,2994,3422,3593,3890,4383,4929,4857,5552,7315
+ Sales & Services Revenue,2771,2994,3422,3593,3890,4383,4929,4857,5552,7315
- Cost of Revenue,2344,2407,2565,2592,2890,3282,3673,3575,4179,5758
+ Cost of Goods & Services,2344,2407,2565,2592,2890,3282,3673,3575,4179,5758
Gross Profit,427,588,858,1001,1001,1101,1256,1281,1373,1558
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,274,292,313,338,371,368,402,390,483,549
"+ Selling, General & Admin",259,272,287,315,324,333,371,360,418,515
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,15,20,26,23,47,35,32,30,65,34
Operating Income (Loss),153,295,545,663,629,733,854,892,891,1009
- Non-Operating (Income) Loss,156,-4,217,116,268,109,96,148,17,221
"+ Interest Expense, Net",201,241,220,132,287,137,128,133,146,168
+ Interest Expense,202,242,220,133,291,137,129,134,148,168
- Interest Income,1,1,0,1,4,1,1,2,2,1
+ Other Non-Op (Income) Loss,-44,-245,-3,-17,-19,-27,-32,15,-129,53
Pretax Income,-4,299,328,547,361,623,758,744,874,788
- Income Tax Expense (Benefit),-24,92,95,125,-232,105,135,156,200,193
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,21,207,233,422,593,518,623,588,674,595
- Net Extraordinary Losses (Gains),-4,2,12,3,-8,2,5,4,3,20
+ Discontinued Operations,4,-2,-12,-3,8,-2,-5,-4,-3,-19
+ Extraord. & Accounting Changes,-7,4,23,6,-16,4,10,7,6,39
Income (Loss) Incl. MI,24,205,221,419,601,516,618,584,671,575
- Minority Interest,0,0,0,0,0,0,0,0,0,-1
"Net Income, GAAP",24,205,221,419,601,516,618,584,671,576
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",24,205,221,419,601,516,618,584,671,576
Basic Weighted Avg Shares,130,131,133,133,133,132,132,133,133,133
"Basic EPS, GAAP",0.19,1.56,1.66,3.15,4.54,3.90,4.67,4.41,5.05,4.33
Basic EPS from Cont Ops,0.16,1.58,1.75,3.17,4.48,3.91,4.71,4.44,5.07,4.47
Diluted Weighted Avg Shares,131,133,135,136,135,134,133,133,134,134
"Diluted EPS, GAAP",0.19,1.54,1.64,3.09,4.46,3.85,4.63,4.39,5.02,4.31
Diluted EPS from Cont Ops,0.16,1.56,1.72,3.11,4.40,3.87,4.67,4.41,5.05,4.45
EBITDA,458,575,820,948,935,1079,1228,1289,1354,1596
EBITDA Margin (%),16.52,19.19,23.95,26.39,24.04,24.62,24.92,26.53,24.38,21.82
EBITA,153,295,545,663,629,733,854,892,891,1009
EBIT,153,295,545,663,629,733,854,892,891,1009
Gross Margin (%),15.41,19.62,25.06,27.86,25.72,25.12,25.48,26.39,24.74,21.29
Operating Margin (%),5.51,9.86,15.92,18.45,16.18,16.72,17.32,18.36,16.04,13.79
Profit Margin (%),0.88,6.84,6.46,11.68,15.45,11.77,12.53,12.03,12.08,7.87
Sales per Employee,384234,431374,503336,502541,492443,499074,562234,548980,466101,641853
Dividend per Share,0.04,0.22,0.40,0.80,1.00,1.12,1.24,1.36,1.48,1.60
Depreciation Expense,305,279,275,285,306,346,375,397,463,588
