,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,475,384,605,501,598,645,745,794,903,925
"+ Cash, Cash Equivalents & STI",170,43,142,139,146,140,185,219,280,113
+ Cash & Cash Equivalents,166,39,138,135,142,140,185,219,280,113
+ ST Investments,4,4,4,3,4,0,0,0,0,0
+ Accounts & Notes Receiv,226,286,369,313,374,390,468,458,483,334
"+ Accounts Receivable, Net",143,203,320,264,346,356,442,381,446,290
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",83,83,49,49,29,34,26,77,37,44
+ Inventories,0,0,0,0,0,0,0,0,0,0
+ Raw Materials,0,0,0,0,0,0,0,0,0,0
+ Work In Process,0,0,0,0,0,0,0,0,0,0
+ Finished Goods,0,0,0,0,0,0,0,0,0,0
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,0,0,0,0,0,0,0,0,0,0
+ Other ST Assets,79,55,94,49,77,115,93,118,139,478
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,2030,1961,5011,4130,5423,5256,6310,6768,6906,6036
"+ Property, Plant & Equip, Net",233,302,-60,-105,-106,-155,35,900,-62,-127
"+ Property, Plant & Equip",543,680,418,380,478,556,767,1737,911,724
- Accumulated Depreciation,309,378,478,485,585,711,732,837,973,851
+ LT Investments & Receivables,0,0,0,0,0,0,0,193,216,230
+ LT Investments,0,0,0,0,0,0,0,193,216,230
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,1796,1659,5071,4235,5529,5411,6276,5675,6751,5934
+ Total Intangible Assets,1629,1614,4512,3589,4714,4589,5263,5493,5557,2181
+ Goodwill,1182,1207,3135,2578,3369,3362,3864,4108,4331,1676
+ Other Intangible Assets,448,406,1377,1011,1345,1228,1399,1385,1226,505
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,167,45,560,646,815,821,1012,182,1194,3753
Total Assets,2504,2345,5616,4631,6020,5900,7055,7562,7808,6961
+ Payables & Accruals,107,181,246,183,229,269,382,411,330,293
+ Accounts Payable,81,87,246,183,225,264,375,99,321,293
+ Accrued Taxes,0,0,0,0,3,5,7,4,9,0
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,26,93,0,0,0,0,0,307,0,0
+ ST Debt,4,336,875,107,724,673,540,553,1013,1422
+ ST Borrowings,0,330,875,107,724,673,499,500,971,1393
+ ST Finance Leases,4,6,5,7,9,8,41,53,41,30
+ Other ST Liabilities,319,254,359,332,385,383,570,467,501,604
+ Deferred Revenue,227,253,357,331,385,383,440,467,501,322
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Misc ST Liabilities,93,2,2,1,0,0,130,1,0,282
Total Current Liabilities,431,771,1479,622,1338,1325,1492,1431,1843,2319
+ LT Debt,1271,1101,2293,2280,2284,2051,2860,2971,2598,2533
+ LT Borrowings,1265,1096,2293,2280,2284,2051,2652,2689,2343,2343
+ LT Finance Leases,6,5,2,7,8,20,208,282,255,190
+ Other LT Liabilities,254,262,471,397,473,455,443,462,525,341
+ Accrued Liabilities,211,225,396,322,338,351,356,397,471,146
+ Pension Liabilities,15,16,15,14,0,0,0,0,0,0
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Misc LT Liabilities,28,21,60,61,135,104,87,65,54,196
Total Noncurrent Liabilities,1526,1363,2765,2677,2757,2505,3303,3433,3122,2874
Total Liabilities,1957,2134,4244,3299,4095,3830,4794,4864,4966,5193
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Share Capital & APIC,1202,1171,2024,2122,2180,2283,2369,2491,2609,2721
+ Common Stock,0,0,0,0,0,0,0,0,0,0
+ Additional Paid in Capital,1202,1171,2023,2122,2180,2283,2369,2491,2609,2721
- Treasury Stock,1865,2534,2571,2891,3151,3563,3850,4179,4638,6240
+ Retained Earnings,1254,1654,2162,2753,3308,3943,4228,4762,5240,5999
+ Other Equity,-43,-81,-242,-651,-412,-592,-487,-376,-395,-731
Equity Before Minority Interest,548,211,1372,1332,1925,2071,2261,2698,2817,1749
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,26,18
Total Equity,548,211,1372,1332,1925,2071,2261,2698,2843,1768
Total Liabilities & Equity,2504,2345,5616,4631,6020,5900,7055,7562,7808,6961
Shares Outstanding,167,158,169,167,165,164,163,163,162,155
Capital Leases - Total,11,11,7,14,17,27,249,335,296,219
Net Debt,1099,1386,3030,2252,2867,2584,2966,2970,3034,3624
Net Debt to Equity,200.76,656.97,220.82,169.01,148.88,124.79,131.21,110.09,106.73,204.99
Tangible Common Equity Ratio,-124,-192,-284,-216,-213,-192,-168,-135,-121,-9
Current Ratio,1.10,0.50,0.41,0.81,0.45,0.49,0.50,0.56,0.49,0.40
Cash Conversion Cycle,11.51,-6.70,-29.48,-56.11,-43.27,-47.20,-63.43,-33.21,-22.14,-81.96
Number of Employees,7095,6550,7918,6314,7304,8184,9300,8960,9367,7000
