,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,167,158,169,167,165,164,163,163,162,155
Diluted Weighted Avg Shares,172,169,168,171,169,168,167,165,163,159
Basic Weighted Avg Shares,168,166,165,168,165,165,164,163,162,158
Revenue per Share,9.50,10.53,12.53,11.86,12.99,14.53,15.94,17.12,18.53,15.81
EBITDA per Share,4.46,4.85,5.77,5.90,6.29,6.86,6.24,8.59,8.55,11.06
Operating Income per Share,3.66,3.98,4.46,4.56,4.85,5.06,4.26,6.38,6.18,8.91
"Basic EPS, GAAP",2.07,2.41,3.07,3.51,3.36,3.63,2.75,4.38,4.12,6.04
Basic EPS from Cont Ops,2.04,2.24,3.07,2.68,3.36,3.63,2.75,4.38,4.12,6.60
"Diluted EPS, GAAP",2.02,2.37,3.01,3.45,3.29,3.56,2.70,4.31,4.08,6.00
Diluted EPS from Cont Ops,1.99,2.19,3.01,2.64,3.29,3.56,2.70,4.31,4.08,6.56
Dividend per Share,0,0,0,0,0,0,1.00,1.08,1.16,1.24
Cash Flow per Share,3.02,2.95,3.78,3.25,4.50,5.67,5.85,6.57,7.14,6.71
Free Cash Flow per Basic Share,2.15,2.07,2.77,2.32,3.39,4.27,4.52,5.05,5.48,4.97
Cash & Equivalents per Share,1.01,0.27,0.84,0.83,0.89,0.85,1.13,1.34,1.73,0.73
Book Value per Share,7.49,10.48,12.76,16.49,20.06,24.05,25.92,29.25,32.42,38.78
Tangible Book Value per Share,-6.46,-8.88,-18.53,-13.52,-16.91,-15.36,-18.40,-17.16,-16.79,-2.67
