,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,10.60,7.32,8.24,8.99,10.32,8.82,7.98,8.17,7.49,6.93
Days Sales Outstanding,34.45,49.84,44.31,40.60,35.38,41.38,45.73,44.67,48.72,52.70
Inventory Turnover,5.84,2.71,2.89,3.15,2.90,3.47,3.75,3.29,2.85,2.66
Days Inventory Outstanding,62.49,134.64,126.37,115.93,125.66,105.25,97.24,111.11,127.94,137.46
Accounts Payable Turnover,1.51,1.29,2.06,3.40,4.57,4.56,5.95,7.00,5.58,4.76
Accounts Payable Turnover Days,241.21,283.12,176.88,107.30,79.91,79.98,61.34,52.15,65.44,76.65
Cash Conversion Cycle,-144.27,-98.64,-6.20,49.23,81.13,66.65,81.64,103.63,111.22,113.51
Inventory to Cash Days,-28.05,-84.80,-82.06,-75.32,-90.28,-63.87,-51.51,-66.44,-79.22,-84.76
Inventories,14,31,56,78,112,124,168,281,353,461
Raw Materials,0,9,9,6,21,10,26,46,42,38
Work In Process,10,21,41,57,74,88,107,161,224,261
Finished Goods,4,2,8,15,17,27,34,73,87,162
Other Inventory,0,0,-1,0,0,0,0,0,0,0
