,2019,2020,2021,2022
Sales/Revenue/Turnover,3873,3795,3828,4129
+ Sales & Services Revenue,3873,3795,3828,4129
- Cost of Revenue,1811,1940,2088,2283
+ Cost of Goods & Services,1811,1940,2088,2283
Gross Profit,2062,1856,1740,1846
+ Other Operating Income,0,0,0,0
- Operating Expenses,1212,1264,1318,1362
"+ Selling, General & Admin",166,130,130,145
+ Research & Development,0,0,0,0
+ Other Operating Expense,1046,1134,1188,1218
Operating Income (Loss),851,591,421,484
- Non-Operating (Income) Loss,468,247,360,542
"+ Interest Expense, Net",441,462,440,468
+ Interest Expense,452,470,440,468
- Interest Income,11,8,0,0
+ Other Non-Op (Income) Loss,27,-215,-80,74
Pretax Income,383,345,61,-58
- Income Tax Expense (Benefit),-56,-97,5,-17
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,439,441,57,-41
- Net Extraordinary Losses (Gains),13,4,15,13
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,13,4,15,13
Income (Loss) Incl. MI,427,437,41,-54
- Minority Interest,-6,-2,-8,-7
"Net Income, GAAP",433,439,49,-47
- Preferred Dividends,0,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",433,439,49,-47
Basic Weighted Avg Shares,366,373,383,400
"Basic EPS, GAAP",1.18,1.18,0.13,-0.12
Basic EPS from Cont Ops,1.20,1.18,0.15,-0.10
Diluted Weighted Avg Shares,370,377,386,403
"Diluted EPS, GAAP",1.17,1.17,0.13,-0.12
Diluted EPS from Cont Ops,1.19,1.17,0.15,-0.10
EBITDA,1919,1722,1637,1695
EBITDA Margin (%),49.56,45.37,42.75,41.04
EBITA,851,591,421,497
EBIT,851,591,421,484
Gross Margin (%),53.25,48.89,45.44,44.71
Operating Margin (%),21.96,15.58,11.01,11.72
Profit Margin (%),11.18,11.57,1.28,-1.15
Sales per Employee,7505329,8471779,8820293,9155639
Dividend per Share,3.16,2.49,1.79,1.80
Depreciation Expense,1069,1130,1215,1198
