,2019,2020,2021,2022
Total Debt,13259,12299,12561,12915
ST Debt,849,193,336,428
LT Debt,12410,12105,12225,12487
Total Debt/EBITDA,6.91,7.14,7.68,7.62
Net Debt/EBITDA,6.72,6.78,7.46,7.44
Total Debt/EBIT,15.59,20.79,29.81,26.69
Net Debt/EBIT,15.17,19.74,28.98,26.05
EBITDA to Interest Expense,4.25,3.67,3.72,3.62
EBITDA-CapEx/Interest Expense,3.01,2.54,2.73,2.65
EBIT to Interest Expense,1.88,1.26,0.96,1.03
Interest Expense,452,470,440,468
Common Equity/Total Assets,-14.48,-16.45,-18.53,-22.14
Long-Term Debt/Equity (%),117.68,117.78,111.69,122.16
Long-Term Debt/Capital (%),126.86,143.09,151.44,163.56
Long-Term Debt/Total Assets (%),50.26,50.59,49.46,51.69
Total Debt/Equity (%),125.73,119.66,114.76,126.35
Total Debt/Capital (%),135.54,145.37,155.60,169.17
Total Debt/Total Assets (%),53.70,51.40,50.82,53.46
Net Debt to Equity,122.34,113.60,111.59,123.29
Net Debt/Capital (%),133.33,145.10,154.17,167.76
EBITDA,1919,1722,1637,1695
EBITDA-CapEx,1359,1193,1204,1241
Operating Income (Loss),851,591,421,484
