,2019,2020,2021,2022
Shares Outstanding,373,375,399,400
Diluted Weighted Avg Shares,370,377,386,403
Basic Weighted Avg Shares,366,373,383,400
Revenue per Share,10.58,10.17,10.00,10.33
EBITDA per Share,5.24,4.61,4.28,4.24
Operating Income per Share,2.32,1.58,1.10,1.21
"Basic EPS, GAAP",1.18,1.18,0.13,-0.12
Basic EPS from Cont Ops,1.20,1.18,0.15,-0.10
"Diluted EPS, GAAP",1.17,1.17,0.13,-0.12
Diluted EPS from Cont Ops,1.19,1.17,0.15,-0.10
Dividend per Share,3.16,2.49,1.79,1.80
Cash Flow per Share,3.93,3.88,2.68,2.80
Free Cash Flow per Basic Share,2.40,2.47,1.55,1.67
Cash & Equivalents per Share,0.92,1.74,0.37,0.31
Book Value per Share,-9.59,-10.51,-11.47,-13.38
Tangible Book Value per Share,21.96,21.34,21.36,19.59
