,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,1.81,0.20,-0.19
Return on Capital (%),0,0,5.41,0
Return on Invested Capital (%),0,0,1.69,0
Gross Margin (%),53.25,48.89,45.44,44.71
EBITDA Margin (%),49.56,45.37,42.75,41.04
Operating Margin (%),21.96,15.58,11.01,11.72
Incremental Operating Margin (%),0,334.87,-520.70,20.72
Pretax Margin (%),9.89,9.08,1.60,-1.40
Profit Margin (%),11.18,11.57,1.28,-1.15
Net Income to Common Margin (%),11.18,11.57,1.28,-1.15
Effective Tax Rate (%),0,0,7.86,0
Dvd Payout Ratio (%),259.82,209.56,1071.42,-2093.04
Sustainable Growth Rate (%),0,0,0,0
