,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,26.37,22.89,30.43,40.77,32.49,39.80,596.43,0,0,6.49
Price/Earnings Average,20.80,20.10,32.23,46.49,28.96,55.41,684.60,-15.16,-13.87,6.47
Price/Earnings High,27.49,23.96,42.72,58.18,35.23,69.80,989.35,-20.74,-17.88,9.10
Price/Earnings Low,16.83,16.88,20.94,35.91,22.57,37.99,510.48,-11.44,-11.39,4.91
Price/Book Value,5.39,5.50,6.00,4.13,3.93,2.34,1.66,4.07,4.43,2.60
Price/Book Value Average,4.25,4.83,6.35,4.71,3.50,3.25,1.91,3.79,4.76,2.60
Price/Book Value High,5.62,5.75,8.42,5.89,4.26,4.10,2.76,5.19,6.13,3.65
Price/Book Value Low,3.44,4.05,4.13,3.64,2.73,2.23,1.42,2.86,3.91,1.97
Price/Tangible Book Value,-4.15,-6.85,-9.45,-1.63,-1.83,-1.25,-1.07,-1.15,-0.92,-1.13
Price/Tangible Book Value Average,-3.27,-6.01,-10.01,-1.85,-1.63,-1.74,-1.23,-1.07,-0.99,-1.13
Price/Tangible Book Value High,-4.32,-7.17,-13.27,-2.32,-1.98,-2.19,-1.78,-1.46,-1.28,-1.58
Price/Tangible Book Value Low,-2.65,-5.05,-6.50,-1.43,-1.27,-1.19,-0.92,-0.81,-0.81,-0.85
Price/Sales,2.38,2.76,2.74,1.77,1.90,1.23,0.87,0.91,0.92,0.83
Price/Sales Average,1.88,2.42,2.90,2.01,1.69,1.71,1.00,0.85,0.98,0.83
Price/Sales High,2.48,2.89,3.84,2.52,2.06,2.15,1.45,1.16,1.27,1.16
Price/Sales Low,1.52,2.03,1.88,1.56,1.32,1.17,0.75,0.64,0.81,0.63
Price/Cash Flow,14.86,20.97,12.84,9.56,10.95,5.99,5.56,8.85,5.43,4.57
Price/Cash Flow Average,11.72,18.41,13.60,10.90,9.76,8.34,6.38,8.24,5.83,4.55
Price/Cash Flow High,15.50,21.95,18.03,13.64,11.87,10.51,9.21,11.28,7.52,6.40
Price/Cash Flow Low,9.48,15.46,8.84,8.42,7.61,5.72,4.75,6.22,4.79,3.46
Price/Free Cash Flow,11.27,12.87,9.44,7.10,7.67,3.98,4.54,5.70,4.58,3.95
Price/Free Cash Flow Average,8.89,11.30,10.00,8.09,6.83,5.54,5.21,5.31,4.92,3.93
Price/Free Cash Flow High,11.75,13.48,13.25,10.13,8.31,6.98,7.53,7.26,6.34,5.53
Price/Free Cash Flow Low,7.19,9.49,6.50,6.25,5.33,3.80,3.89,4.01,4.04,2.99
EV/Sales,3.43,3.85,3.49,3.14,3.05,2.40,1.93,3.93,2.07,1.93
EV/Sales Average,2.94,3.51,3.66,3.41,2.87,2.89,2.07,3.82,2.15,1.94
EV/Sales High,3.53,3.98,4.64,3.94,3.23,3.34,2.51,4.45,2.44,2.27
EV/Sales Low,2.60,3.12,2.61,2.93,2.50,2.35,1.81,3.40,1.98,1.74
EV/EBITDA,14.48,15.10,13.75,11.99,11.26,9.25,8.17,22.21,7.72,6.69
EV/EBITDA Average,12.42,13.77,14.41,13.04,10.57,11.14,8.76,21.60,8.02,6.72
EV/EBITDA High,14.89,15.60,18.27,15.06,11.90,12.86,10.64,25.16,9.08,7.89
EV/EBITDA Low,10.95,12.24,10.26,11.21,9.22,9.07,7.68,19.24,7.36,6.03
EV/EBIT,21.15,21.21,24.16,25.28,25.53,32.06,31.94,0,125.50,18.91
EV/EBIT Average,18.14,19.35,25.32,27.50,23.98,38.61,34.23,-443.17,130.44,19.01
EV/EBIT High,21.75,21.92,32.10,31.76,26.99,44.55,41.61,-516.08,147.68,22.32
EV/EBIT Low,16.00,17.19,18.03,23.64,20.92,31.42,30.01,-394.68,119.78,17.05
Last Price,42.91,56.94,54.62,38.15,42.31,27.27,19.43,18.13,13.55,11.13
High Price,44.73,59.60,76.69,54.44,45.87,47.82,32.23,23.11,18.77,15.60
Low Price,27.38,41.97,37.59,33.60,29.39,26.03,16.63,12.75,11.96,8.42
Enterprise Value,23702,29698,32937,34743,36362,27447,22166,46942,37048,31311
Enterprise Value Average,20334,27093,34524,37782,34147,33053,23758,45647,38505,31482
Enterprise Value High,24379,30696,43765,43639,38427,38138,28882,53156,43596,36950
Enterprise Value Low,17931,24081,24582,32483,29789,26899,20830,40652,35359,28235
