,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,2.00,0.40,0.14,0.09,0.06,0.07,0.06,0.56,0.06,0.05
Current Ratio,2.62,1.06,0.64,0.87,0.91,0.91,0.84,1.38,0.78,0.75
Quick Ratio,2.46,0.90,0.52,0.67,0.77,0.73,0.62,1.16,0.57,0.54
CFO/Avg Current Liab,1.44,1.11,1.23,0.69,0.80,0.97,0.86,0.99,0.91,0.76
Common Equity/Total Assets,0.76,1.23,4.77,6.34,14.02,16.60,18.37,19.24,19.76,21.81
Long-Term Debt/Equity (%),93.97,808.25,581.24,438.72,254.31,193.52,189.55,203.80,200.27,175.46
Long-Term Debt/Capital (%),58.89,94.06,84.12,84.30,73.44,66.76,63.30,66.32,66.18,62.29
Long-Term Debt/Total Assets (%),32.71,47.50,42.39,43.18,44.19,39.98,40.83,44.61,45.45,42.73
Total Debt/Equity (%),98.09,828.25,617.61,449.73,262.03,206.66,211.89,217.33,213.86,190.70
Total Debt/Capital (%),61.47,96.38,89.39,86.41,75.67,71.29,70.76,70.72,70.67,67.70
Total Debt/Total Assets (%),34.15,48.68,45.04,44.26,45.54,42.69,45.64,47.57,48.54,46.44
CFO/Total Liabilities,21.72,13.98,17.17,10.32,11.91,16.34,15.62,16.90,13.95,12.93
CFO/CapEx,2.19,1.71,1.03,1.25,1.37,1.76,1.81,1.72,0.34,1.22
Altman's Z-Score,2.15,2.09,2.44,2.50,2.64,2.68,2.50,2.33,2.31,2.13
