,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,7112,8478,6538,7922,7820,6619,14876,13676,17058,18086
- Cash & Cash Equivalents,286,426,226,398,233,581,604,599,473,541
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,2,1,2,771,20,4,37,30,38,45
+ Total Debt,451,521,696,1893,1871,3857,4429,4239,4058,4002
Enterprise Value,7279,8574,7009,10187,9477,9899,18738,17347,20681,21592
Total Capital,2031,2433,2980,5218,4665,6884,7735,7861,8153,8626
Total Debt/Capital (%),22.20,21.42,23.35,36.27,40.10,56.03,57.26,53.93,49.77,46.39
Total Debt / EV,0.06,0.06,0.10,0.19,0.20,0.39,0.24,0.24,0.20,0.19
EV/Sales,2.84,2.82,2.12,3.48,2.44,2.27,2.29,2.30,2.64,2.58
EV/EBITDA,14.90,14.57,10.43,19.29,18.07,16.99,19.08,15.36,15.70,15.03
EV/EBIT,16.64,16.27,11.54,22.23,22.51,20.91,28.26,23.30,23.61,21.36
EV/Cash Flow to Firm,29.55,17.70,15.25,21.15,38.39,24.52,15.94,18.64,17.11,18.34
EV/Free Cash Flow to Firm,25.31,16.11,13.77,19.16,28.18,19.92,13.77,16.25,15.45,16.28
Diluted Market Cap,7180,8532,6906,7567,7827,6611,13758,13785,17269,18245
Diluted Enterprise Value,7347,8628,7377,9832,9484,9891,17621,17456,20892,21751
EV per Share,75.89,89.06,76.32,106.76,98.68,102.46,97.75,91.83,111.31,119.16
TTM Sales,2566,3044,3308,2931,3882,4364,8200,7556,7822,8362
TTM EBITDA,489,588,672,528,524,583,982,1130,1317,1437
TTM Operating Income,437,527,608,458,421,473,663,745,876,1011
TTM Cash Flow to Firm,246,485,460,482,247,404,1176,931,1209,1178
TTM Free Cash Flow to Firm,288,532,509,532,336,497,1361,1067,1339,1327
