,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,45503,57517,95280,87202,83730,64555,45835,33551,42083,30418
- Cash & Cash Equivalents,2106,2646,3000,9807,3301,785,1023,516,1193,1358
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,104,439,401,808,682,641,498,402,1042
+ Total Debt,5047,4510,14383,19028,12935,14397,16836,40140,33392,35477
Enterprise Value,48444,59485,107102,96824,94172,78849,62289,73673,74050,64465
Total Capital,26650,26923,39923,47125,43892,48642,53304,74860,68927,74332
Total Debt/Capital (%),18.94,16.75,36.03,40.38,29.47,29.60,31.58,53.62,48.45,47.73
Total Debt / EV,0.10,0.08,0.13,0.20,0.14,0.18,0.27,0.54,0.45,0.55
EV/Sales,0.67,0.78,1.04,0.83,0.80,0.60,0.46,0.53,0.56,0.49
EV/EBITDA,9.97,12.16,17.57,12.60,13.31,9.86,9.06,25.41,13.58,21.78
EV/EBIT,13.55,16.63,24.60,16.23,17.37,12.67,12.89,75.80,21.27,66.46
EV/Cash Flow to Firm,11.00,14.94,17.42,11.63,12.02,8.98,10.04,12.67,12.03,14.98
EV/Free Cash Flow to Firm,8.62,11.69,14.47,10.03,10.25,7.77,7.88,10.25,9.83,10.68
Diluted Market Cap,45916,58414,92132,87855,88200,67461,47274,34120,42133,30462
Diluted Enterprise Value,48857,60382,103954,97477,98642,81755,63728,74242,74734,65623
EV per Share,51.18,62.59,98.27,89.40,91.98,82.81,69.57,85.11,85.57,74.56
TTM Sales,72217,76392,103444,117351,118214,131537,136866,139537,132509,132703
TTM EBITDA,4859,4893,6095,7682,7076,7993,6872,2899,5454,2960
TTM Operating Income,3576,3577,4353,5964,5422,6223,4834,972,3481,970
TTM Cash Flow to Firm,4405,3982,6149,8327,7835,8778,6207,5813,6157,4302
TTM Free Cash Flow to Firm,5617,5088,7400,9652,9186,10145,7909,7187,7536,6036
