,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,13.07,13.18,8.58,6.58,5.90,5.84,6.12,6.09,6.14,5.77
Days Sales Outstanding,27.92,27.69,42.52,55.45,61.86,62.54,59.61,59.96,59.44,63.21
Inventory Turnover,8.64,9.24,7.26,7.58,8.65,9.51,8.86,8.07,9.13,8.73
Days Inventory Outstanding,42.23,39.51,50.26,48.13,42.22,38.39,41.20,45.23,39.97,41.82
Accounts Payable Turnover,8.30,9.75,7.19,5.65,5.60,5.96,5.45,4.84,5.75,5.87
Accounts Payable Turnover Days,43.97,37.42,50.78,64.65,65.16,61.20,66.94,75.39,63.47,62.18
Cash Conversion Cycle,26.18,29.78,41.99,38.93,38.92,39.73,33.88,29.80,35.94,42.85
Inventory to Cash Days,-14.31,-11.82,-7.74,7.32,19.64,24.15,18.41,14.74,19.47,21.39
Inventories,329,401,687,588,539,548,550,529,636,807
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,329,401,687,588,539,548,550,529,636,807
