,2019,2020,2021,2022
Total Debt,15389,14217,14677,14964
ST Debt,1588,0,325,0
LT Debt,13801,14217,14352,14964
Total Debt/EBITDA,6.68,7.91,7.94,6.90
Net Debt/EBITDA,6.35,6.82,7.50,6.42
Total Debt/EBIT,12.22,19.04,18.44,18.01
Net Debt/EBIT,11.62,16.41,17.41,16.75
EBITDA to Interest Expense,4.14,3.49,3.77,4.09
EBITDA-CapEx/Interest Expense,4.12,3.46,3.74,4.04
EBIT to Interest Expense,2.27,1.45,1.62,1.57
Interest Expense,556,514,490,530
Common Equity/Total Assets,-13.36,-14.15,-15.09,-16.41
Long-Term Debt/Equity (%),81.27,82.54,75.55,69.94
Long-Term Debt/Capital (%),111.55,130.77,133.26,151.98
Long-Term Debt/Total Assets (%),41.34,43.77,41.11,39.49
Total Debt/Equity (%),90.62,82.54,77.26,69.94
Total Debt/Capital (%),124.38,130.77,136.27,151.98
Total Debt/Total Assets (%),46.10,43.77,42.04,39.49
Net Debt to Equity,86.15,71.14,72.96,65.05
Net Debt/Capital (%),121.04,131.38,132.00,151.03
EBITDA,2302,1797,1849,2168
EBITDA-CapEx,2287,1779,1830,2137
Operating Income (Loss),1259,747,796,831
