,2019,2020,2021,2022
Shares Outstanding,410,417,447,491
Diluted Weighted Avg Shares,404,417,427,465
Basic Weighted Avg Shares,402,415,425,462
Revenue per Share,12.74,11.09,11.16,12.68
EBITDA per Share,5.73,4.32,4.35,4.69
Operating Income per Share,3.13,1.80,1.87,1.80
"Basic EPS, GAAP",3.07,2.36,0.79,0.31
Basic EPS from Cont Ops,1.45,2.50,0.88,0.35
"Diluted EPS, GAAP",3.05,2.35,0.79,0.30
Diluted EPS from Cont Ops,1.44,2.49,0.88,0.35
Dividend per Share,3.49,2.69,2.44,2.45
Cash Flow per Share,3.82,3.28,3.00,2.87
Free Cash Flow per Basic Share,3.78,3.24,2.96,2.81
Cash & Equivalents per Share,0.69,3.70,0.60,1.29
Book Value per Share,-10.87,-11.01,-11.78,-12.68
Tangible Book Value per Share,37.29,37.51,38.32,39.51
