,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,2.97,1.00,0.39
Return on Capital (%),0,0,7.05,6.10
Return on Invested Capital (%),0,0,2.31,2.26
Gross Margin (%),47.47,43.60,41.49,39.28
EBITDA Margin (%),44.95,39.01,38.99,36.99
Operating Margin (%),24.58,16.22,16.79,14.18
Incremental Operating Margin (%),0,99.37,36.07,3.11
Pretax Margin (%),10.60,-0.69,3.60,2.95
Profit Margin (%),24.06,21.25,7.09,2.41
Net Income to Common Margin (%),24.06,21.25,7.09,2.41
Effective Tax Rate (%),0.54,0,5.10,4.19
Dvd Payout Ratio (%),205.88,101.85,250.93,628.90
Sustainable Growth Rate (%),0,0,0,0
