,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,2463,4347,3998,4470,5218,6027,5771,6207,6031,8199
ST Debt,617,803,528,594,826,1981,853,310,308,252
LT Debt,1846,3544,3470,3876,4392,4046,4918,5897,5723,7947
Total Debt/EBITDA,1.24,2.31,1.86,2.05,2.53,3.14,3.02,2.50,2.17,4.84
Net Debt/EBITDA,0.55,1.76,1.50,1.55,1.95,2.36,1.59,0.99,0.79,3.34
Total Debt/EBIT,1.70,3.28,2.69,2.93,3.70,4.73,4.37,3.25,2.64,6.73
Net Debt/EBIT,0.75,2.51,2.17,2.22,2.85,3.56,2.30,1.28,0.96,4.64
EBITDA to Interest Expense,5.98,6.14,8.48,9.09,8.29,6.39,10.21,13.12,15.86,8.91
EBITDA-CapEx/Interest Expense,4.24,3.79,5.77,6.34,5.55,4.43,7.36,10.95,12.86,5.91
EBIT to Interest Expense,4.35,4.31,5.85,6.36,5.67,4.24,7.07,10.11,13.03,6.41
Interest Expense,332,307,254,240,249,300,187,189,175,190
Common Equity/Total Assets,37.91,31.59,35.94,38.77,37.31,38.40,42.28,43.01,50.70,48.91
Long-Term Debt/Equity (%),36.67,61.15,61.16,67.67,85.65,126.24,119.43,125.23,114.16,317.12
Long-Term Debt/Capital (%),21.80,30.61,29.50,30.16,32.27,28.93,33.51,37.16,34.72,47.46
Long-Term Debt/Total Assets (%),11.88,17.72,18.25,20.24,21.95,22.05,26.05,28.98,28.21,46.41
Total Debt/Equity (%),48.93,75.00,70.46,78.04,101.76,188.05,140.14,131.81,120.31,327.17
Total Debt/Capital (%),29.09,37.55,33.99,34.79,38.33,43.09,39.32,39.11,36.59,48.97
Total Debt/Total Assets (%),15.85,21.73,21.03,23.34,26.08,32.85,30.57,30.50,29.73,47.88
Net Debt to Equity,21.51,57.30,56.86,59.10,78.43,141.31,73.85,51.92,43.75,225.74
Net Debt/Capital (%),15.28,31.48,29.35,28.77,32.39,36.27,23.90,18.89,16.32,38.26
EBITDA,1985,1884,2154,2182,2065,1918,1909,2479,2775,1693
EBITDA-CapEx,1407,1164,1465,1522,1381,1328,1377,2069,2250,1123
Operating Income (Loss),1445,1324,1486,1527,1411,1273,1322,1911,2281,1218
