,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,13983,13996,12961,13609,14485,14914,15455,15218,17931,19698
+ Sales & Services Revenue,13983,13996,12961,13609,14485,14914,15455,15218,17931,19698
- Cost of Revenue,9112,9002,8231,8486,9021,9249,9496,9341,11111,12294
+ Cost of Goods & Services,9112,9002,8231,8486,9021,9249,9496,9341,11111,12294
Gross Profit,4871,4994,4730,5123,5464,5665,5959,5877,6820,7404
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,2801,2773,2588,2711,2844,2930,3205,3399,3863,3976
"+ Selling, General & Admin",1427,1481,1343,1410,1468,1453,1631,1728,1864,1938
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,1374,1292,1245,1301,1376,1477,1574,1671,1999,2038
Operating Income (Loss),2070,2221,2142,2412,2620,2735,2754,2478,2957,3428
- Non-Operating (Income) Loss,1576,470,1082,590,429,359,649,585,608,510
"+ Interest Expense, Net",477,466,385,376,363,374,411,425,365,378
+ Interest Expense,481,471,385,376,363,374,411,425,365,378
- Interest Income,4,5,0,0,0,0,0,0,0,0
+ Other Non-Op (Income) Loss,1099,4,697,214,66,-15,238,160,243,132
Pretax Income,494,1751,1060,1822,2191,2376,2105,1893,2349,2918
- Income Tax Expense (Benefit),364,413,308,642,242,453,434,397,532,678
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,130,1338,752,1180,1949,1923,1671,1496,1817,2240
- Net Extraordinary Losses (Gains),64,80,-2,-4,0,-4,2,0,2,4
+ Discontinued Operations,0,0,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,64,80,-2,-4,0,-4,2,0,2,4
Income (Loss) Incl. MI,66,1258,754,1184,1949,1927,1669,1496,1815,2236
- Minority Interest,-32,-40,1,2,0,2,-1,0,-1,-2
"Net Income, GAAP",98,1298,753,1182,1949,1925,1670,1496,1816,2238
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",98,1298,753,1182,1949,1925,1670,1496,1816,2238
Basic Weighted Avg Shares,468,463,453,444,439,429,425,423,420,413
"Basic EPS, GAAP",0.21,2.81,1.66,2.67,4.44,4.49,3.93,3.54,4.32,5.42
Basic EPS from Cont Ops,0.28,2.89,1.66,2.66,4.44,4.48,3.94,3.54,4.32,5.43
Diluted Weighted Avg Shares,470,466,456,447,442,432,428,425,423,415
"Diluted EPS, GAAP",0.21,2.79,1.65,2.65,4.41,4.45,3.91,3.52,4.29,5.39
Diluted EPS from Cont Ops,0.28,2.87,1.65,2.64,4.41,4.45,3.91,3.52,4.30,5.40
EBITDA,3403,3513,3387,3713,3996,4212,4328,4149,4956,5466
EBITDA Margin (%),24.34,25.10,26.13,27.28,27.59,28.24,28.00,27.26,27.64,27.75
EBITA,2070,2221,2142,2412,2620,2735,2754,2478,2957,3428
EBIT,2070,2221,2142,2412,2620,2735,2754,2478,2957,3428
Gross Margin (%),34.84,35.68,36.49,37.64,37.72,37.98,38.56,38.62,38.03,37.59
Operating Margin (%),14.80,15.87,16.53,17.72,18.09,18.34,17.82,16.28,16.49,17.40
Profit Margin (%),0.70,9.27,5.81,8.69,13.46,12.91,10.81,9.83,10.13,11.36
Sales per Employee,327471,351658,319236,330316,342435,341281,344209,315399,369711,397939
Dividend per Share,1.46,1.50,1.54,1.64,1.71,1.87,2.06,2.19,2.31,2.61
Depreciation Expense,1333,1292,1245,1301,1376,1477,1574,1671,1999,2038
