,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.34,0.09,0.04,0.06,0.34,0.09,0.07,0.06,0.34,0.03
Current Ratio,0.85,0.74,0.61,0.50,0.82,0.81,0.40,0.62,0.91,0.78
Quick Ratio,0.68,0.54,0.46,0.38,0.71,0.64,0.32,0.49,0.74,0.59
CFO/Avg Current Liab,1.26,0.93,1.06,1.35,0.91,1.48,1.28,1.11,1.08,0.99
Common Equity/Total Assets,-20.37,-9.43,-14.64,-18.93,-16.34,-19.33,-21.19,-26.04,-25.18,-24.81
Long-Term Debt/Equity (%),127.26,103.55,146.76,161.07,126.33,139.82,123.12,147.10,153.54,156.12
Long-Term Debt/Capital (%),112.34,73.76,86.94,94.11,102.78,148.83,129.41,156.66,150.34,162.65
Long-Term Debt/Total Assets (%),41.83,41.31,48.58,48.31,44.08,49.37,43.76,48.57,45.47,45.27
Total Debt/Equity (%),129.79,107.53,150.92,167.32,129.43,140.11,136.20,153.22,167.90,163.08
Total Debt/Capital (%),114.58,76.59,89.41,97.76,105.30,149.14,143.16,163.18,164.40,169.90
Total Debt/Total Assets (%),42.66,42.90,49.95,50.18,45.17,49.48,48.41,50.59,49.72,47.29
CFO/Total Liabilities,12.17,6.96,8.17,11.17,8.47,11.24,12.44,11.82,11.77,14.22
CFO/CapEx,0.62,0.52,0.85,1.79,1.05,1.01,1.72,97.11,493.13,2.14
Altman's Z-Score,0.96,0.76,0.31,0.36,0.54,0.55,0.51,0.42,0.57,0.72
