,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,2032,2456,2185,2488,2497,2790,2626,2725,3267,2837
ST Debt,0,0,0,0,0,0,0,0,0,0
LT Debt,2032,2456,2185,2488,2497,2790,2626,2725,3267,2837
Total Debt/EBITDA,19.71,27.64,25.66,28.92,22.11,21.28,23.16,20.18,25.19,50.78
Net Debt/EBITDA,11.57,20.05,16.69,19.67,13.69,15.04,14.13,2.61,13.10,24.84
Total Debt/EBIT,0,0,0,0,0,0,0,0,0,0
Net Debt/EBIT,0,0,0,0,0,0,0,0,0,0
EBITDA to Interest Expense,0.84,0.69,0.65,0.61,0.77,0.83,0.74,0.90,0.88,0.43
EBITDA-CapEx/Interest Expense,0.32,0.37,0.16,0.25,-0.02,0.52,0.35,0.64,0.43,0.02
EBIT to Interest Expense,0,0,0,0,0,0,0,0,0,0
Interest Expense,123,128,131,141,147,157,153,151,147,130
Common Equity/Total Assets,25.85,26.61,28.65,28.43,28.81,30.55,30.04,29.43,28.32,30.32
Long-Term Debt/Equity (%),46.51,53.10,47.16,48.97,45.81,50.91,42.92,43.08,49.11,42.04
Long-Term Debt/Capital (%),27.55,29.70,25.88,27.15,26.17,26.73,24.61,24.42,26.42,21.62
Long-Term Debt/Total Assets (%),9.89,11.31,10.05,10.65,10.27,11.20,9.86,9.53,10.18,8.38
Total Debt/Equity (%),46.51,53.10,47.16,48.97,45.81,50.91,42.92,43.08,49.11,42.04
Total Debt/Capital (%),27.55,29.70,25.88,27.15,26.17,26.73,24.61,24.42,26.42,21.62
Total Debt/Total Assets (%),9.89,11.31,10.05,10.65,10.27,11.20,9.86,9.53,10.18,8.38
Net Debt to Equity,27.29,38.52,30.68,33.32,28.38,35.99,26.19,5.58,25.53,20.57
Net Debt/Capital (%),18.24,23.45,18.51,20.23,18.01,20.50,16.61,4.02,15.73,11.89
EBITDA,103,89,85,86,113,131,113,135,130,56
EBITDA-CapEx,40,47,22,35,-3,81,53,97,63,3
Operating Income (Loss),0,0,0,0,0,0,0,0,0,0
