,2019,2020,2021,2022
Total Debt,6377,5475,5123,5053
ST Debt,230,150,24,982
LT Debt,6147,5325,5099,4071
Total Debt/EBITDA,5.44,2.75,1.25,1.42
Net Debt/EBITDA,5.32,2.50,0.79,0.98
Total Debt/EBIT,9.62,3.60,1.42,1.64
Net Debt/EBIT,9.41,3.27,0.89,1.13
EBITDA to Interest Expense,3.10,4.50,13.06,13.19
EBITDA-CapEx/Interest Expense,2.09,2.91,12.58,12.09
EBIT to Interest Expense,1.75,3.43,11.54,11.41
Interest Expense,378,443,313,270
Common Equity/Total Assets,5.66,8.25,17.29,19.06
Long-Term Debt/Equity (%),75.17,60.99,47.36,37.87
Long-Term Debt/Capital (%),84.14,78.08,62.27,48.71
Long-Term Debt/Total Assets (%),37.47,32.65,28.76,23.48
Total Debt/Equity (%),77.99,62.71,47.58,47.01
Total Debt/Capital (%),87.28,80.28,62.57,60.46
Total Debt/Total Assets (%),38.87,33.57,28.90,29.14
Net Debt to Equity,76.29,57.04,29.91,32.30
Net Debt/Capital (%),87.04,78.74,51.04,51.23
EBITDA,1173,1993,4088,3560
EBITDA-CapEx,789,1287,3939,3265
Operating Income (Loss),663,1521,3611,3080
