,2019,2020,2021,2022
Cash Ratio,0.50,0.52,1.82,0.91
Current Ratio,1.60,1.69,3.12,1.58
Quick Ratio,0.90,1.08,2.41,1.14
CFO/Avg Current Liab,0,1.56,3.19,2.04
Common Equity/Total Assets,5.66,8.25,17.29,19.06
Long-Term Debt/Equity (%),75.17,60.99,47.36,37.87
Long-Term Debt/Capital (%),84.14,78.08,62.27,48.71
Long-Term Debt/Total Assets (%),37.47,32.65,28.76,23.48
Total Debt/Equity (%),77.99,62.71,47.58,47.01
Total Debt/Capital (%),87.28,80.28,62.57,60.46
Total Debt/Total Assets (%),38.87,33.57,28.90,29.14
CFO/Total Liabilities,11.74,20.17,45.38,42.97
CFO/CapEx,2.52,2.17,21.20,9.60
Altman's Z-Score,2.22,2.84,4.22,3.50
