,2019,2020,2021,2022
Shares Outstanding,745,747,747,733
Diluted Weighted Avg Shares,746,748,751,743
Basic Weighted Avg Shares,746,747,749,742
Revenue per Share,8.79,10.08,13.61,13.73
EBITDA per Share,1.57,2.67,5.45,4.80
Operating Income per Share,0.89,2.04,4.82,4.15
"Basic EPS, GAAP",-0.10,1.07,3.48,2.53
Basic EPS from Cont Ops,-0.10,1.07,3.48,2.53
"Diluted EPS, GAAP",-0.10,1.07,3.47,2.53
Diluted EPS from Cont Ops,-0.10,1.07,3.47,2.53
Dividend per Share,1.36,0.51,1.18,2.18
Cash Flow per Share,1.30,2.05,4.21,3.82
Free Cash Flow per Basic Share,0.78,1.10,4.02,3.42
Cash & Equivalents per Share,0.67,0.66,2.51,2.16
Book Value per Share,1.25,1.80,4.10,4.51
Tangible Book Value per Share,10.97,11.68,14.41,14.67
