,2019,2020,2021,2022
Return on Common Equity (%),0,70.10,118.23,59.03
Return on Assets (%),0,4.87,15.32,10.72
Return on Capital (%),0,16.37,38.02,25.39
Return on Invested Capital (%),0,8.56,18.75,15.79
Gross Margin (%),17.42,27.68,40.17,35.55
EBITDA Margin (%),17.90,26.46,40.07,34.96
Operating Margin (%),10.12,20.19,35.40,30.24
Incremental Operating Margin (%),0,87.73,78.31,3123.53
Pretax Margin (%),-3.25,13.04,32.51,22.63
Profit Margin (%),-1.16,10.58,25.56,18.46
Net Income to Common Margin (%),-1.16,10.58,25.56,18.46
Effective Tax Rate (%),0,18.84,21.38,18.44
Dvd Payout Ratio (%),-1332.89,47.80,33.91,86.01
Sustainable Growth Rate (%),0,36.59,78.14,8.26
