,2019,2020,2021,2022
Accounts Receivable Turnover,0,19.85,21.32,23.57
Days Sales Outstanding,0,18.39,17.12,15.48
Inventory Turnover,0,12.68,12.67,12.27
Days Inventory Outstanding,0,28.78,28.80,29.75
Accounts Payable Turnover,0,24.33,25.48,24.98
Accounts Payable Turnover Days,0,15.00,14.32,14.61
Cash Conversion Cycle,0,32.17,31.60,30.62
Inventory to Cash Days,0,-10.39,-11.68,-14.27
Inventories,416,443,520,550
Raw Materials,261,246,281,313
Work In Process,0,0,0,0
Finished Goods,47,88,91,88
Other Inventory,108,109,148,149
