,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,2969,2782,2506,2990,3424,2641,2856,3813,2876,4030
"+ Cash, Cash Equivalents & STI",2609,2422,2195,2627,2971,2215,2352,3482,2523,3650
+ Cash & Cash Equivalents,2435,2182,2080,2453,2804,2215,2352,3482,2523,3650
+ ST Investments,174,240,115,173,167,0,0,0,0,0
+ Accounts & Notes Receiv,242,238,188,219,224,277,346,200,199,216
"+ Accounts Receivable, Net",242,238,188,219,224,277,346,200,199,216
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",0,0,0,0,0,0,0,0,0,0
+ Inventories,75,72,74,92,72,67,89,66,70,70
+ Raw Materials,0,0,0,0,0,0,0,0,0,0
+ Work In Process,0,0,0,0,0,0,0,0,0,0
+ Finished Goods,0,0,0,0,0,0,0,0,0,0
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,75,72,74,92,72,67,89,66,70,70
+ Other ST Assets,43,50,48,53,157,83,69,65,84,93
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,5408,6281,8016,8963,9258,10575,11015,10056,9655,9386
"+ Property, Plant & Equip, Net",4934,5856,7477,8260,8499,9386,10077,9595,9137,8749
"+ Property, Plant & Equip",7313,8477,10318,11435,12137,13474,14587,14763,14864,14801
- Accumulated Depreciation,2379,2621,2841,3175,3639,4088,4511,5168,5727,6051
+ LT Investments & Receivables,4,14,137,128,161,0,0,0,0,0
+ LT Investments,4,14,137,128,161,0,0,0,0,0
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,470,410,402,576,599,1189,938,461,518,636
+ Total Intangible Assets,31,112,111,114,124,223,146,278,308,245
+ Goodwill,0,0,0,0,0,0,18,144,130,91
+ Other Intangible Assets,31,112,111,114,124,223,128,134,178,155
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,439,298,291,462,475,966,792,183,211,391
Total Assets,8377,9063,10522,11954,12682,13216,13871,13870,12531,13415
+ Payables & Accruals,629,615,528,651,678,751,655,511,595,571
+ Accounts Payable,273,303,210,299,285,322,262,148,171,197
+ Accrued Taxes,207,137,99,163,212,247,168,66,73,45
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,149,175,219,190,180,182,224,296,352,328
+ ST Debt,1,0,0,0,63,12,324,596,50,548
+ ST Borrowings,1,0,0,0,63,12,324,596,50,548
+ ST Finance Leases,0,0,0,0,0,0,0,0,0,0
+ Other ST Liabilities,825,698,582,765,1190,1119,1004,774,643,693
+ Deferred Revenue,704,549,436,600,1050,955,824,647,436,506
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,4,5,0,0,0,0,0,0,0,0
+ Misc ST Liabilities,117,144,146,166,140,164,180,127,206,187
Total Current Liabilities,1456,1313,1110,1416,1930,1882,1983,1881,1288,1811
+ LT Debt,6587,7345,9213,10125,9566,9411,10239,12592,12000,13184
+ LT Borrowings,6587,7345,9213,10125,9566,9411,10080,12469,11885,11569
+ LT Finance Leases,0,0,0,0,0,0,159,123,115,1615
+ Other LT Liabilities,203,193,177,154,107,108,108,133,79,60
+ Accrued Liabilities,14,25,36,67,0,0,0,0,0,0
+ Pension Liabilities,0,0,0,0,0,0,0,0,0,0
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
