,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,101,101,102,102,103,107,107,108,116,113
Diluted Weighted Avg Shares,102,102,102,102,103,107,107,107,114,114
Basic Weighted Avg Shares,101,101,101,101,102,107,107,107,114,114
Revenue per Share,55.91,53.84,40.29,44.03,61.78,63.06,61.93,19.63,33.08,33.06
EBITDA per Share,16.69,15.76,9.81,9.67,16.04,17.10,14.27,-4.11,3.27,3.61
Operating Income per Share,13.00,12.65,6.62,5.68,10.63,11.93,8.42,-10.91,-3.02,-2.49
"Basic EPS, GAAP",7.25,7.25,1.93,2.39,7.32,5.48,1.15,-19.37,-6.64,-3.73
Basic EPS from Cont Ops,9.99,9.54,2.78,2.98,8.71,7.65,2.92,-21.80,-8.90,-6.24
"Diluted EPS, GAAP",7.17,7.18,1.92,2.38,7.28,5.46,1.15,-19.37,-6.64,-3.73
Diluted EPS from Cont Ops,9.88,9.44,2.77,2.97,8.67,7.61,2.91,-21.80,-8.90,-6.24
Dividend per Share,10.29,9.34,4.93,3.21,3.14,5.35,5.31,1.02,0.01,0.01
Cash Flow per Share,16.68,10.88,5.66,9.57,18.39,9.03,8.44,-10.05,-1.96,-0.63
Free Cash Flow per Basic Share,11.50,-4.62,-13.41,-2.81,8.95,-7.20,-1.63,-12.76,-5.50,-4.19
Cash & Equivalents per Share,25.79,23.88,21.61,25.80,28.85,20.66,21.91,32.27,21.80,32.20
Book Value per Share,0.66,1.63,0.56,0.95,6.18,8.61,5.99,-14.19,-19.76,-23.91
Tangible Book Value per Share,1.00,0.97,-0.88,1.42,9.27,14.85,12.99,-9.41,-9.88,-16.63
