,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.06,0.07,0.07,0.08,0.05,0.05,0.05,0.08,0.12,0.43
Current Ratio,0.83,0.82,0.79,0.87,0.82,0.84,0.78,0.80,1.04,1.41
Quick Ratio,0.53,0.50,0.44,0.53,0.50,0.49,0.47,0.44,0.69,1.03
CFO/Avg Current Liab,0.66,0.66,0.51,0.43,0.57,0.63,0.49,0.24,0.85,1.22
Common Equity/Total Assets,114.62,119.94,125.92,127.15,123.09,126.20,120.51,120.10,120.32,121.55
Long-Term Debt/Equity (%),3.82,6.44,11.27,16.64,12.55,10.35,13.24,28.75,24.72,20.03
Long-Term Debt/Capital (%),1.61,2.56,4.25,6.17,5.10,4.27,5.36,9.95,9.39,8.16
Long-Term Debt/Total Assets (%),1.99,3.33,5.92,8.76,7.00,5.93,7.26,14.18,12.81,10.99
Total Debt/Equity (%),12.58,16.08,21.88,24.60,21.77,19.04,23.59,41.21,27.15,20.34
Total Debt/Capital (%),5.32,6.40,8.25,9.11,8.85,7.85,9.55,14.26,10.31,8.28
Total Debt/Total Assets (%),6.55,8.33,11.49,12.95,12.14,10.92,12.94,20.33,14.08,11.16
CFO/Total Liabilities,27.01,26.79,18.97,14.11,19.50,24.39,18.16,8.70,29.48,46.10
CFO/CapEx,1.33,1.37,1.15,1.37,1.95,1.84,1.22,0.85,3.99,4.17
Altman's Z-Score,0.73,0.76,3.91,3.91,3.80,3.98,5.80,2.46,3.72,5.00
