,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.09,0.32,0.60,0.50,0.40,0.31,0.41,0.33,0.29,0.31
Current Ratio,1.44,1.85,2.51,2.44,2.12,1.86,2.01,1.36,1.55,1.62
Quick Ratio,0.69,0.97,1.44,1.32,1.18,1.00,1.19,0.84,0.92,0.85
CFO/Avg Current Liab,0.48,0.77,0.88,0.90,0.70,0.51,0.63,0.55,0.52,0.44
Common Equity/Total Assets,60.99,72.74,81.60,33.89,22.34,14.14,16.35,13.23,16.95,6.01
Long-Term Debt/Equity (%),45.24,49.65,48.77,18.60,24.27,30.49,30.47,42.41,40.81,51.81
Long-Term Debt/Capital (%),25.26,24.80,24.04,27.50,40.57,54.00,52.38,57.82,54.10,77.36
Long-Term Debt/Total Assets (%),22.97,24.79,25.91,12.96,15.53,18.01,18.05,22.56,22.32,25.84
Total Debt/Equity (%),57.26,54.50,49.29,18.86,24.72,32.29,30.52,48.43,44.42,54.91
Total Debt/Capital (%),31.97,27.23,24.29,27.89,41.33,57.19,52.46,66.02,58.89,81.98
Total Debt/Total Assets (%),29.07,27.22,26.19,13.15,15.82,19.08,18.07,25.77,24.30,27.38
CFO/Total Liabilities,16.71,24.07,24.10,15.96,16.10,14.06,18.04,14.52,15.73,13.50
CFO/CapEx,4.08,5.00,6.91,4.43,3.82,2.58,5.14,7.30,4.63,3.47
Altman's Z-Score,6.22,7.14,8.02,6.69,5.76,4.18,4.99,3.78,4.94,3.25
