,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.63,0.73,0.83,0.23,0.38,0.21,0.48,0.96,0.97,0.59
Current Ratio,2.36,2.31,2.44,1.36,1.88,1.51,1.63,1.80,2.27,1.89
Quick Ratio,1.59,1.58,1.74,0.85,1.25,0.96,1.17,1.43,1.65,1.28
CFO/Avg Current Liab,0.40,0.47,0.54,0.46,0.56,0.47,0.58,0.48,0.32,0.40
Common Equity/Total Assets,8.32,13.36,19.05,15.98,17.92,22.72,24.23,22.08,26.05,28.85
Long-Term Debt/Equity (%),53.55,56.37,57.39,91.23,87.34,73.72,68.76,83.47,75.64,53.67
Long-Term Debt/Capital (%),72.75,61.87,55.34,58.42,63.86,51.75,48.64,49.44,52.21,44.21
Long-Term Debt/Total Assets (%),24.50,24.65,25.68,30.85,32.07,28.40,26.46,28.39,29.48,23.64
Total Debt/Equity (%),55.43,60.55,61.13,108.13,87.34,82.96,78.06,103.63,77.77,55.64
Total Debt/Capital (%),75.30,66.46,58.95,69.24,63.86,58.24,55.22,61.39,53.69,45.84
Total Debt/Total Assets (%),25.36,26.48,27.36,36.57,32.07,31.96,30.04,35.25,30.32,24.51
CFO/Total Liabilities,12.20,15.20,18.03,11.60,15.80,13.20,17.69,14.27,10.65,13.40
CFO/CapEx,2.57,3.50,3.97,4.01,4.04,2.47,3.71,4.50,2.59,2.87
Altman's Z-Score,4.10,4.35,4.50,3.99,4.95,5.10,4.85,4.20,5.30,5.61
