,2014,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,0,1426,11556,11245,10143,8939,8221,8127,7079,5697
ST Debt,0,0,0,576,1225,500,1500,500,1605,544
LT Debt,0,1426,11556,10670,8918,8439,6721,7627,5474,5152
Total Debt/EBITDA,0,0.80,5.89,4.53,3.61,4.09,3.61,4.70,3.64,2.69
Net Debt/EBITDA,0,0.19,5.15,4.27,3.42,3.84,3.34,4.23,3.45,2.51
Total Debt/EBIT,0,1.01,9.32,7.78,5.81,7.79,6.47,11.64,7.04,4.78
Net Debt/EBIT,0,0.24,8.15,7.35,5.51,7.32,5.99,10.49,6.67,4.46
EBITDA to Interest Expense,0,28.34,6.85,6.94,8.58,7.48,10.03,8.16,9.32,12.85
EBITDA-CapEx/Interest Expense,0,26.05,6.26,6.42,8.10,6.92,8.25,7.61,8.59,11.71
EBIT to Interest Expense,0,22.39,4.33,4.04,5.33,3.92,5.60,3.29,4.82,7.23
Interest Expense,0,63,287,358,328,293,227,212,208,165
Common Equity/Total Assets,0,86.02,30.47,31.95,37.99,39.35,42.33,41.32,43.89,45.39
Long-Term Debt/Equity (%),0,21.85,117.76,111.34,75.84,74.84,54.24,62.52,43.22,42.84
Long-Term Debt/Capital (%),0,14.67,58.05,54.12,44.22,45.77,36.03,41.85,31.50,33.75
Long-Term Debt/Total Assets (%),0,14.80,42.16,40.25,33.79,34.98,27.28,31.23,23.34,24.46
Total Debt/Equity (%),0,21.85,117.76,117.35,86.26,79.27,66.34,66.61,55.89,47.36
Total Debt/Capital (%),0,14.67,58.05,57.04,50.29,48.48,44.07,44.60,40.73,37.32
Total Debt/Total Assets (%),0,14.80,42.16,42.42,38.43,37.05,33.37,33.28,30.18,27.04
Net Debt to Equity,0,5.25,102.96,110.73,81.80,74.46,61.35,60.04,52.91,44.24
Net Debt/Capital (%),0,3.96,54.75,55.61,48.96,46.92,42.15,42.05,39.41,35.73
EBITDA,0,1789,1963,2484,2809,2188,2276,1731,1943,2119
EBITDA-CapEx,0,1644,1795,2299,2653,2025,1871,1613,1791,1931
Operating Income (Loss),0,1413,1240,1445,1746,1147,1270,698,1005,1192
