,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),9.35,2.13,-9.36,-10.38,1.37,28.66,27.74,20.28,26.53,12.17
Return on Assets (%),12.87,0.97,-2.59,-2.84,0.38,9.77,12.02,9.99,14.44,6.74
Return on Capital (%),9.35,0,0,0,1.65,14.63,18.14,14.83,19.13,8.51
Return on Invested Capital (%),15.36,0,0,0,2.29,16.61,21.13,18.16,22.88,17.43
Gross Margin (%),48.51,46.57,45.02,45.94,45.94,46.97,46.82,45.03,46.70,45.39
EBITDA Margin (%),19.55,18.12,15.23,16.51,17.49,19.06,20.04,18.68,21.29,19.72
Operating Margin (%),16.46,13.25,6.47,8.00,10.42,14.91,16.14,15.40,17.97,16.19
Incremental Operating Margin (%),-15.93,7.98,0.75,-63.83,68.92,48.59,35.58,105.41,27.65,-48.70
Pretax Margin (%),15.78,1.00,-4.48,-3.61,2.36,12.42,13.33,12.59,17.20,9.41
Profit Margin (%),12.94,1.94,-3.76,-3.83,0.46,9.98,12.13,11.33,14.87,8.01
Net Income to Common Margin (%),12.94,1.94,-3.76,-3.83,0.46,9.98,12.13,11.33,14.87,8.01
Effective Tax Rate (%),18.07,0,0,0,80.68,19.66,9.03,10.00,13.53,14.89
Dvd Payout Ratio (%),0,0,0,0,0,0,0,0,0,0
Sustainable Growth Rate (%),9.35,2.13,-9.36,-10.38,1.37,28.66,27.74,20.28,26.53,12.17
