,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,6.01,3.94,5.43,5.50,6.74,8.44,7.92,7.94,8.93,7.61
Days Sales Outstanding,60.76,92.56,67.20,66.35,54.13,43.22,46.10,45.99,40.87,47.98
Inventory Turnover,4.37,3.46,5.10,5.23,5.01,4.57,4.80,4.96,5.99,4.67
Days Inventory Outstanding,83.43,105.34,71.63,69.79,72.84,79.79,76.06,73.52,60.98,78.10
Accounts Payable Turnover,18.44,6.45,6.52,5.36,5.34,4.92,4.24,4.31,4.58,4.67
Accounts Payable Turnover Days,19.80,56.55,55.99,68.07,68.36,74.22,86.14,84.78,79.70,78.21
Cash Conversion Cycle,124.40,141.36,82.84,68.08,58.61,48.79,36.02,34.74,22.14,47.88
Inventory to Cash Days,-22.67,-12.78,-4.43,-3.44,-18.70,-36.56,-29.96,-27.53,-20.11,-30.11
Inventories,121,394,394,345,458,520,474,511,491,860
Raw Materials,32,140,178,172,116,125,128,117,196,293
Work In Process,0,0,0,1,1,3,4,4,3,4
Finished Goods,102,260,272,254,341,392,342,390,292,563
Other Inventory,0,0,0,0,0,0,0,0,0,0
