,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,2274,1093,817,1035,3983,5224,2723,1336,1012,7751
ST Debt,0,1,0,500,3600,4500,1000,0,0,7100
LT Debt,2274,1092,817,535,383,724,1723,1336,1012,651
Total Debt/EBITDA,17.41,8.50,5.41,8.41,22.25,27.07,14.48,15.53,-72.29,70.46
Net Debt/EBITDA,-54.18,-53.84,-40.30,-9.05,14.82,20.68,6.78,-3.27,704.71,52.31
Total Debt/EBIT,0,0,0,0,0,0,0,0,0,0
Net Debt/EBIT,0,0,0,0,0,0,0,0,0,0
EBITDA to Interest Expense,-0.53,-0.74,-1.28,-1.41,-1.41,-0.77,-0.46,-0.57,0.24,-0.59
EBITDA-CapEx/Interest Expense,-0.17,0.27,0.05,0.83,-0.08,-0.25,-0.17,0.56,3.73,0.43
EBIT to Interest Expense,0,0,0,0,0,0,0,0,0,0
Interest Expense,-245,-173,-118,-87,-127,-251,-411,-152,-59,-185
Common Equity/Total Assets,10.09,11.36,11.28,11.14,10.90,10.56,9.75,8.59,7.62,8.45
Long-Term Debt/Equity (%),35.17,14.81,10.89,7.01,4.99,9.55,23.43,16.94,13.56,13.30
Long-Term Debt/Capital (%),25.46,12.70,9.75,6.08,3.25,5.55,17.17,15.02,11.83,4.13
Long-Term Debt/Total Assets (%),4.06,1.91,1.37,0.85,0.58,1.05,2.49,1.64,1.09,0.73
Total Debt/Equity (%),35.17,14.82,10.89,13.56,51.87,68.94,37.03,16.94,13.56,158.41
Total Debt/Capital (%),25.46,12.72,9.75,11.77,33.82,40.02,27.14,15.02,11.83,49.19
Total Debt/Total Assets (%),4.06,1.91,1.37,1.64,6.01,7.60,3.94,1.64,1.09,8.66
Net Debt to Equity,-109.47,-93.91,-81.11,-14.58,34.55,52.67,17.34,-3.56,-132.20,117.60
Net Debt/Capital (%),1685.33,-1199.49,-413.37,-16.76,25.40,33.77,14.85,-3.86,424.71,41.82
EBITDA,131,129,151,123,179,193,188,86,-14,110
EBITDA-CapEx,42,-47,-6,-73,10,64,71,-85,-220,-80
Operating Income (Loss),0,0,0,0,0,0,0,0,0,0
