,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,16335,21733,24005,26383,35021,40518,62870,78080,115856,67971
- Cash & Cash Equivalents,610,882,1154,727,1564,1602,1932,3602,3482,3577
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,22,26,23,12,16,0,0,4,1,-2
+ Total Debt,3657,3650,4868,4468,4953,6452,6611,7362,6743,8090
Enterprise Value,19404,24527,27742,30136,38426,45269,67549,81844,119118,72482
Total Capital,3960,4390,5772,5962,7083,9727,11043,13030,13935,16761
Total Debt/Capital (%),92.35,83.14,84.34,74.94,69.93,66.33,59.87,56.50,48.39,48.27
Total Debt / EV,0.19,0.15,0.18,0.15,0.13,0.14,0.10,0.09,0.06,0.11
EV/Sales,4.25,5.13,5.82,6.17,7.24,7.77,10.79,12.26,15.32,8.97
EV/EBITDA,18.86,20.91,21.86,18.41,19.54,20.68,27.80,30.20,36.64,21.36
EV/EBIT,23.66,25.31,25.93,21.57,22.28,24.07,33.47,36.07,42.50,24.75
EV/Cash Flow to Firm,25.42,34.56,37.43,36.59,26.59,23.05,34.10,35.35,49.71,34.72
EV/Free Cash Flow to Firm,20.48,27.11,28.74,28.98,23.02,19.67,27.68,29.56,41.46,27.11
Diluted Market Cap,16345,21763,24227,26670,35527,41138,63699,78615,116872,68935
Diluted Enterprise Value,19414,24557,27964,30423,38932,45988,68378,82379,120134,73446
EV per Share,38.81,48.92,55.77,61.14,79.04,94.40,142.05,172.19,252.06,156.28
TTM Sales,4561,4785,4765,4888,5307,5825,6260,6675,7776,8080
TTM EBITDA,1029,1173,1269,1637,1967,2189,2430,2710,3251,3393
TTM Operating Income,820,969,1070,1397,1725,1881,2018,2269,2803,2928
TTM Cash Flow to Firm,763,710,741,824,1445,1964,1981,2315,2396,2088
TTM Free Cash Flow to Firm,947,905,965,1040,1669,2302,2441,2768,2873,2674
